distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4893,2002,1,1,Sheila,Steiner,1087,0,0,0,0,1,1,1,
4893,2002,1,2,Christine,Wing,1320,1,0,0,0,1,1,1,
4893,2002,1,3,Brian,Copp,1256,1,1,1,0,1,1,1,
4893,2002,1,NA,Scatter,,5,0,0,0,1,1,1,1,
4893,2003,1,4,Barbara,Kolpin,1148,1,0,0,0,2,2,1,
4893,2003,1,1,Sheila,Steiner,1276,1,0,1,0,2,2,1,
4893,2003,1,5,Manny,Kenney,830,0,1,1,0,2,2,1,
4893,2003,1,6,Peter,Donalds,977,1,0,0,0,2,2,1,1 year term
4893,2003,1,7,Rick,Blakeley,1275,1,0,0,0,2,2,1,
4893,2003,1,8,Jeff,Bump,908,0,0,0,0,2,2,1,
4893,2004,1,9,Bob,Ebert,668,0,0,0,0,3,3,1,
4893,2004,1,5,Manny,Kenney,973,1,0,1,0,3,3,1,
4893,2004,1,10,Pat,Hagan,519,0,0,0,0,3,3,1,
4893,2004,1,11,Dennis,Behnke,1170,1,1,1,0,3,3,1,
4893,2004,1,NA,Scatter,,16,0,0,0,1,3,3,1,
4893,2005,1,2,Christine,Wing,1570,1,1,1,0,4,4,1,
4893,2005,1,12,Bob,Gustafson,856,1,0,0,0,4,4,1,
4893,2005,1,13,Ben,Plunkett,49,0,0,0,1,4,4,1,
4893,2005,1,NA,Scatter,,45,0,0,0,1,4,4,1,
4893,2006,1,4,Barbara,Kolpin,715,1,1,1,0,4,4,1,
4893,2006,1,14,Stephen,Rivard,628,1,0,0,0,5,5,1,
4893,2006,1,15,Ned,Fagan,559,1,0,0,0,5,5,1,
4893,2006,1,16,Bryan,Shuster,530,0,0,0,0,5,5,1,
4893,2006,1,NA,Scatter,,15,0,0,0,1,5,5,1,
4893,2007,1,11,Dennis,Behnke,970,1,1,1,0,6,6,1,
4893,2007,1,5,Manny,Kenney,823,1,1,1,0,6,6,1,
4893,2007,1,17,Jeremy,Untz,593,0,0,0,0,6,6,1,
4893,2007,1,NA,Scatter,,13,0,0,0,1,6,6,1,
4893,2008,2,18,Eunice,Beauchman,629,0,0,0,0,7,7,1,
4893,2008,2,19,Geoffrey,Force,886,1,0,0,0,7,7,1,
4893,2008,2,20,Rellen,Hardtke,913,1,0,0,0,7,7,1,
4893,2008,2,21,Peggy,Foster Harris,1159,1,0,0,0,7,7,1,
4893,2008,2,22,Stacy,Johnson Myers,2098,1,0,0,0,7,7,1,
4893,2008,2,23,Dustin,Pfundheller,517,0,0,0,0,7,7,1,
4893,2008,2,NA,Scatter,,77,0,0,0,1,7,7,1,
4893,2008,1,22,Stacy,Johnson Myers,1624,1,0,0,0,8,8,1,
4893,2008,1,20,Rellen,Hardtke,1129,1,0,0,0,8,8,1,
4893,2008,1,21,Peggy,Foster Harris,374,0,0,0,0,8,8,1,
4893,2008,1,19,Geoffrey,Force,485,0,0,0,0,8,8,1,
4893,2008,1,NA,Scatter,,35,0,0,0,1,8,8,1,
4893,2009,2,24,Alan,Tuchtenhagen,338,1,1,0,0,9,9,1,
4893,2009,2,25,Trudy,Ohnsorg,124,1,0,0,0,9,9,1,
4893,2009,2,26,Dave,Miller,120,1,0,0,0,9,9,1,
4893,2009,2,27,Karen,Swenson,163,1,0,0,0,9,9,1,
4893,2009,2,28,Tim,Freeman,47,0,0,0,1,9,9,1,
4893,2009,2,4,Barbara,Kolpin,248,1,1,1,0,9,9,1,
4893,2009,2,29,Mike,Miller,280,1,0,0,0,9,9,1,
4893,2009,2,NA,Scatter,,9,0,0,0,1,9,9,1,
4893,2009,1,29,Mike,Miller,1050,1,0,0,0,10,10,1,
4893,2009,1,24,Alan,Tuchtenhagen,1043,1,1,0,0,10,10,1,
4893,2009,1,4,Barbara,Kolpin,782,1,1,1,0,10,10,1,
4893,2009,1,27,Karen,Swenson,576,0,0,0,0,10,10,1,
4893,2009,1,26,Dave,Miller,444,0,0,0,0,10,10,1,
4893,2009,1,25,Trudy,Ohnsorg,416,0,0,0,0,10,10,1,
4893,2009,1,NA,Scatter,,25,0,0,0,1,10,10,1,
4893,2010,1,11,Dennis,Behnke,1828,1,1,1,0,11,11,1,
4893,2010,1,5,Manny,Kenney,1744,1,1,1,0,11,11,1,
4893,2010,1,NA,Scatter,,31,0,0,0,1,11,11,1,
4893,2011,1,22,Stacy,Johnson Myers,3324,1,1,1,0,12,12,1,
4893,2011,1,30,Richard,Gerczak,2371,1,0,0,0,12,12,1,
4893,2011,1,31,Kevin,Peterson,2091,0,0,0,0,12,12,1,
4893,2011,1,NA,Scatter,,44,0,0,0,1,12,12,1,
4893,2012,1,29,Mike,Miller,2259,1,1,1,0,13,13,1,
4893,2012,1,24,Alan,Tuchtenhagen,1974,1,1,1,0,13,13,1,
4893,2012,1,4,Barbara,Kolpin,1896,1,1,1,0,13,13,1,
4893,2012,1,NA,Scatter,,74,0,0,0,1,13,13,1,
4893,2013,1,11,Dennis,Behnke,1443,1,1,1,0,14,14,1,
4893,2013,1,5,Manny,Kenney,1327,1,1,1,0,14,14,1,
4893,2013,1,NA,Scatter,,67,0,0,0,1,14,14,1,
