distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
3850,2002,1,1,Karen,Ewing ,344,1,1,1,0,1,1,0,
3850,2002,1,2,Mike,Bailey,355,1,1,1,0,2,2,0,
3850,2002,1,3,David,Adams,349,1,0,0,0,3,3,0,
3850,2002,1,NA,Scatter,,5,0,0,0,1,3,3,0,
3850,2003,1,4,Gary,Stanek,627,1,1,1,0,4,4,0,
3850,2003,1,5,Clay,Dean,625,1,1,1,0,5,5,0,
3850,2003,1,6,Susan,Dix,630,1,1,1,0,6,6,0,
3850,2003,1,NA,Scatter,,1,0,0,0,1,6,6,0,
3850,2004,1,7,Susie,Ziebarth,502,1,1,1,0,7,7,0,
3850,2004,1,8,Pat,Neff,472,1,0,0,0,8,8,0,
3850,2004,1,9,Charlie,Johnson,298,1,1,1,0,9,9,0,
3850,2004,1,10,Paul,Kinney,293,0,1,1,0,9,9,0,
3850,2004,1,NA,Scatter,,6,0,0,0,1,9,9,0,
3850,2005,1,1,Karen,Ewing ,610,1,1,1,0,10,10,0,
3850,2005,1,2,Mike,Bailey,627,1,1,1,0,11,11,0,
3850,2005,1,3,David,Adams,610,1,1,1,0,12,12,0,
3850,2005,1,NA,Scatter,,9,0,0,0,1,12,12,0,
3850,2006,1,4,Gary,Stanek,327,1,1,1,0,13,13,0,
3850,2006,1,5,Clay,Dean,319,1,1,1,0,14,14,0,
3850,2006,1,6,Susan,Dix,336,1,1,1,0,15,15,0,
3850,2006,1,NA,Scatter,,4,0,0,0,1,15,15,0,
3850,2007,1,11,Jim,Rowland,752,1,0,0,0,16,16,0,
3850,2007,1,8,Pat,Neff,759,1,1,1,0,17,17,0,
3850,2007,1,9,Charlie,Johnson,457,1,1,1,0,18,18,0,
3850,2007,1,10,Paul,Kinney,444,1,0,1,0,18,18,0,
3850,2007,1,NA,Scatter,,4,0,0,0,1,18,18,0,
3850,2008,1,1,Karen,Ewing ,594,1,1,1,0,19,19,0,
3850,2008,1,2,Mike,Bailey,615,1,1,1,0,20,20,0,
3850,2008,1,3,David,Adams,607,1,1,1,0,21,21,0,
3850,2008,1,NA,Scatter,,7,0,0,0,1,21,21,0,
3850,2009,1,4,Gary,Stanek,1283,1,1,1,0,22,22,0,
3850,2009,1,5,Clay,Dean,1259,1,1,1,0,23,23,0,
3850,2009,1,6,Susan,Dix,1292,1,1,1,0,24,24,0,
3850,2009,1,NA,Scatter,,6,0,0,0,1,24,24,0,
3850,2010,1,11,Jim,Rowland,834,1,1,1,0,25,25,0,
3850,2010,1,12,Dave,McHenry,535,1,0,0,0,26,26,0,
3850,2010,1,13,Steve,Williamson,482,0,0,0,0,26,26,0,
3850,2010,1,14,Stephanie,Wanek,606,1,0,0,0,27,27,0,
3850,2010,1,15,Greg,Kinney,403,0,0,0,0,27,27,0,
3850,2010,1,NA,Scatter,,3,0,0,0,1,27,27,0,
3850,2011,1,16,Debbi,Lull,871,1,0,0,0,28,28,0,
3850,2011,1,17,Bill,Tracy Jr.,915,1,0,0,0,29,29,0,
3850,2011,1,18,Jamie,Brownlee,844,1,0,0,0,30,30,0,
3850,2011,1,NA,Scatter,,12,0,0,0,1,30,30,0,
3850,2012,1,4,Gary,Stanek,595,1,1,1,0,31,31,0,
3850,2012,1,5,Clay,Dean,595,1,1,1,0,32,32,0,
3850,2012,1,19,Nick,Stitzer,549,1,0,0,0,33,33,0,
3850,2012,1,NA,Scatter,,4,0,0,0,1,33,33,0,
