distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
4956,2005,1,1,Dan,Zimmerman,933,1,1,1,0,1,1,0,
4956,2005,1,2,Ross,Tarnow,421,0,0,0,0,1,1,0,
4956,2005,1,3,Robert,Quast,643,1,1,1,0,1,1,0,
4956,2005,1,4,Cherie,Mayan,450,0,0,0,0,1,1,0,
4956,2005,1,5,Teresa,Horvath,1163,1,0,0,0,2,2,0,
4956,2005,1,NA,Scatter,,3,0,0,0,1,2,2,0,
4956,2006,1,6,Dennis,Kinyon,399,1,0,0,0,3,3,0,
4956,2006,1,7,Carey,Schwebke,181,0,0,0,0,3,3,0,
4956,2006,1,8,Roger,Stahmann,229,1,0,0,0,3,3,0,
4956,2006,1,2,Ross,Tarnow,212,0,0,1,0,3,3,0,
4956,2006,1,9,Dan,Miller,454,1,0,0,0,4,4,0,
4956,2006,1,NA,Scatter,,22,0,0,0,1,4,4,0,
4956,2007,1,2,Ross,Tarnow,519,1,0,1,0,5,5,0,
4956,2007,1,10,Elizabeth,Crook,595,1,1,1,0,5,5,0,
4956,2007,1,11,Rose,Riedeman,632,1,1,1,0,6,6,0,
4956,2007,1,NA,Scatter,,15,0,0,0,1,6,6,0,
4956,2008,1,1,Dan,Zimmerman,497,1,1,1,0,7,7,0,
4956,2008,1,4,Cherie,Mayan,295,0,0,1,0,7,7,0,
4956,2008,1,3,Robert,Quast,441,1,1,1,0,7,7,0,
4956,2008,1,12,Mark,Zeatlow,267,0,0,0,0,8,8,0,
4956,2008,1,13,Craig,Mulder,356,1,0,0,0,8,8,0,
4956,2008,1,NA,Scatter,,2,0,0,0,1,8,8,0,
4956,2009,1,8,Roger,Stahmann,394,1,1,1,0,9,9,0,
4956,2009,1,6,Dennis,Kinyon,448,1,1,1,0,9,9,0,
4956,2009,1,14,Christal,Wellhouse,153,0,0,0,0,10,10,0,
4956,2009,1,15,Dean,Mulder,356,1,0,0,0,10,10,0,
4956,2009,1,NA,Scatter,,4,0,0,0,1,10,10,0,
4956,2010,1,16,Randy,Julka,287,0,0,0,0,11,11,0,
4956,2010,1,17,Ken,Schwandt,216,0,0,0,0,11,11,0,
4956,2010,1,2,Ross,Tarnow,314,1,1,1,0,11,11,0,
4956,2010,1,10,Elizabeth,Crook,447,1,1,1,0,11,11,0,
4956,2010,1,18,Chris,Morgan,368,1,0,0,0,11,11,0,
4956,2010,1,19,Jennifer,Riedeman,537,1,0,0,0,12,12,0,
4956,2010,1,NA,Scatter,,3,0,0,0,1,12,12,0,
4956,2011,1,20,Kevin,Madigan,1259,1,0,0,0,13,13,0,
4956,2011,1,3,Robert,Quast,774,0,1,1,0,13,13,0,
4956,2011,1,1,Dan,Zimmerman,1191,1,1,1,0,13,13,0,
4956,2011,1,NA,Scatter,,22,0,0,0,1,13,13,0,
4956,2012,1,2,Ross,Tarnow,444,1,1,1,0,14,14,0,
4956,2012,1,6,Dennis,Kinyon,730,1,1,1,0,14,14,0,
4956,2012,1,21,Jay,Zimmerman,431,0,0,0,0,14,14,0,
4956,2012,1,22,Kim,Schneider,436,0,0,0,0,14,14,0,
4956,2012,1,15,Dean,Mulder,735,1,1,1,0,15,15,0,
4956,2012,1,23,Kelly,Spors,301,0,0,0,0,15,15,0,
4956,2012,1,NA,Scatter,,9,0,0,0,1,15,15,0,
