distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4963,2002,1,1,James,Zdroik,211,1,1,1,0,1,1,1,
4963,2002,1,2,Krystal,Ferg,246,1,1,1,0,1,1,1,
4963,2002,1,3,Laura,Jakubek,204,0,0,0,0,1,1,1,
4963,2002,1,NA,Scatter,,1,0,0,0,1,1,1,1,
4963,2003,1,4,Carol,Schulz,668,1,1,1,0,2,2,1,
4963,2003,1,5,Rita,Ashenbrenner,10,0,0,0,1,2,2,1,
4963,2003,1,NA,Scatter,,1,0,0,0,1,2,2,1,
4963,2004,1,5,Rita,Ashenbrenner,407,1,0,1,0,3,3,1,
4963,2004,1,6,Elsie,Wanta,339,1,1,1,0,3,3,1,
4963,2004,1,7,Donald,Hartvig,300,0,0,0,0,3,3,1,
4963,2004,1,NA,Scatter,,4,0,0,0,1,3,3,1,
4963,2005,1,2,Krystal,Ferg,730,1,1,1,0,4,4,1,
4963,2005,1,7,Donald,Hartvig,703,1,0,1,0,4,4,1,
4963,2005,1,NA,Scatter,,3,0,0,0,1,4,4,1,
4963,2006,1,4,Carol,Schulz,399,1,1,1,0,5,5,1,
4963,2006,1,8,Cindy,Kurtzweil,330,0,0,0,0,5,5,1,
4963,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
4963,2007,1,6,Elsie,Wanta,897,1,1,1,0,6,6,1,
4963,2007,1,8,Cindy,Kurtzweil,831,1,0,1,0,6,6,1,
4963,2007,1,5,Rita,Ashenbrenner,792,0,0,1,0,6,6,1,
4963,2007,1,NA,Scatter,,5,0,0,0,1,6,6,1,
4963,2008,1,7,Donald,Hartvig,348,1,1,1,0,7,7,1,
4963,2008,1,2,Krystal,Ferg,335,1,1,1,0,7,7,1,
4963,2008,1,NA,Scatter,,6,0,0,0,1,7,7,1,
4963,2009,1,9,Sandi,Kaminski,527,1,0,0,0,8,8,1,
4963,2010,1,8,Cindy,Kurtzweil,278,1,1,1,0,9,9,1,
4963,2010,1,10,Lois,Glodowski,273,1,0,0,0,9,9,1,
4963,2010,1,11,Todd,Wierzba,244,0,0,0,0,9,9,1,
4963,2010,1,12,Scott,Johnson,229,0,0,0,0,9,9,1,
4963,2011,1,7,Donald,Hartvig,713,1,1,1,0,10,10,1,
4963,2011,1,2,Krystal,Ferg,709,1,1,1,0,10,10,1,
4963,2011,1,13,Shawn,Cychosz,322,0,0,0,0,10,10,1,
4963,2011,1,NA,Scatter,,9,0,0,0,1,10,10,1,
4963,2012,1,13,Shawn,Cychosz,477,1,0,1,0,11,11,1,
4963,2012,1,14,Michael,Bembenek,231,0,0,0,0,11,11,1,
4963,2012,1,9,Sandi,Kaminski,152,0,1,1,0,11,11,1,
4963,2012,1,NA,Scatter,,6,0,0,0,1,11,11,1,
