distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
4998,2002,1,1,Peggy,Gordon,53,1,0,0,1,1,1,1,
4998,2002,1,2,Darlene,Jankowski,48,1,0,0,1,1,1,1,
4998,2002,1,3,Julie,Allen,37,0,0,0,1,1,1,1,
4998,2003,1,4,Jim,Klink,178,1,1,1,0,2,2,1,
4998,2003,1,5,Mike,Feucht,40,1,0,0,1,2,2,1,
4998,2003,1,NA,Scatter,,14,0,0,0,1,2,2,1,
4998,2004,1,6,Denise,Mantz,87,1,1,1,1,3,3,1,
4998,2004,1,NA,Scatter,,3,0,0,0,1,3,3,1,
4998,2005,1,2,Darlene,Jankowski,122,1,1,1,0,4,4,1,
4998,2005,1,7,Greg,Moser,16,1,0,0,1,4,4,1,
4998,2005,1,NA,Scatter,,6,0,0,0,1,4,4,1,
4998,2006,1,5,Mike,Feucht,99,1,1,1,1,5,5,1,
4998,2006,1,4,Jim,Klink,89,1,1,1,1,5,5,1,
4998,2006,1,8,Jeff,Miller,79,1,0,0,1,5,5,1,1 year term
4998,2007,1,8,Jeff,Miller,120,1,1,1,0,6,6,1,
4998,2007,1,9,Erick,Gruber,118,1,1,0,0,6,6,1,1 year term
4998,2008,1,2,Darlene,Jankowski,129,1,1,1,0,7,7,1,
4998,2008,1,9,Erick,Gruber,125,1,1,1,0,7,7,1,
4998,2008,1,NA,Scatter,,1,0,0,0,1,7,7,1,
4998,2009,1,5,Mike,Feucht,119,1,1,1,0,8,8,1,
4998,2009,1,4,Jim,Klink,112,1,1,1,0,8,8,1,
4998,2009,1,10,Matt,Thompson,101,1,0,0,0,8,8,1,
4998,2009,1,NA,Scatter,,3,0,0,0,1,8,8,1,
4998,2010,1,10,Matt,Thompson,45,1,1,1,1,9,9,1,
4998,2010,1,8,Jeff,Miller,40,1,1,1,1,9,9,1,
4998,2010,1,NA,Scatter,,2,0,0,0,1,9,9,1,
4998,2011,1,11,James,Stommel,53,1,0,0,1,10,10,1,
4998,2011,1,12,Todd,Birkel,22,0,0,0,1,10,10,1,
4998,2011,1,NA,Scatter,,20,0,0,0,1,10,10,1,
4998,2012,1,5,Mike,Feucht,205,1,1,1,0,11,11,1,
4998,2012,1,NA,Scatter,,19,0,0,0,1,11,11,1,
