distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,areaid,raceid,districtwide
5130,2003,1,1,Mikki,Rankin,638,0,1,1,0,1,1,1
5130,2003,1,2,Angie,Hayes,399,0,0,0,0,1,1,1
5130,2003,1,3,June,Meikle,509,0,1,1,0,1,1,1
5130,2003,1,4,Glenn,Mandel,323,0,0,0,0,1,1,1
5130,2003,1,5,Jackie,Birmingham,816,1,1,1,0,1,1,1
5130,2003,1,6,Daniel,Ploor,757,1,1,1,0,1,1,1
5130,2003,1,NA,Scatter,,3,0,0,0,0,1,1,1
5130,2004,1,11,William,Junion,424,0,0,0,0,1,1,1
5130,2004,1,12,Bradley,Bley,696,1,0,0,0,1,1,1
5130,2004,1,13,Tom,Borkovetz,685,1,1,1,0,1,1,1
5130,2004,1,14,Roxanne,Schopf,554,0,0,0,0,1,1,1
5130,2004,1,NA,Scatter,,0,0,0,0,1,1,1,1
5130,2005,1,7,John,Moravec,786,1,0,0,0,1,1,1
5130,2005,1,8,Mike,Kaye,845,1,0,0,0,1,1,1
5130,2005,1,9,Paul,Spude,572,0,0,0,0,1,1,1
5130,2005,1,10,Tom,Wilson,639,0,0,0,0,1,1,1
5130,2005,1,NA,Scatter,,0,0,0,0,1,1,1,1
5130,2006,1,18,Suzanne,Todey,918,1,0,0,0,1,1,1
5130,2006,1,17,Lisa,Bieri,781,1,0,0,0,1,1,1
5130,2006,1,16,Dale,Fuller,760,1,0,0,0,1,1,1
5130,2006,1,15,Holly,Cole,188,0,0,0,0,1,1,1
5130,2006,1,1,Mikki,Rankin,554,0,1,1,0,1,1,1
5130,2006,1,6,Daniel,Ploor,572,0,1,1,0,1,1,1
5130,2006,1,NA,Scatter,,5,0,0,0,1,1,1,1
5130,2007,1,19,Richard,Hansen,465,0,0,0,0,1,1,1
5130,2007,1,12,Bradley,Bley,147,0,1,1,0,1,1,1
5130,2007,1,20,Richard,Weidman,734,1,0,0,0,1,1,1
5130,2007,1,21,Mark,Herrell,583,1,0,0,0,1,1,1
5130,2007,1,,Scatter,,6,0,0,0,1,1,1,1
5130,2008,1,7,John,Moravec,989,1,1,1,0,1,1,1
5130,2008,1,8,Mike,Kaye,899,0,1,1,0,1,1,1
5130,2008,1,22,George,Evenson,812,0,0,0,0,1,1,1
5130,2008,1,23,Jane,Luebker,962,1,0,0,0,1,1,1
5130,2008,1,NA,Scatter,,12,0,0,0,1,1,1,1
5130,2009,1,24,Bill,Behme,512,1,0,0,0,1,1,1
5130,2009,1,18,Suzanne,Todey,588,1,1,1,0,1,1,1
5130,2009,1,17,Lisa,Bieri,470,1,1,1,0,1,1,1
5130,2009,1,NA,Scatter,,11,0,0,0,1,1,1,1
5130,2010,1,20,Richard,Weidman,483,1,1,1,0,1,1,1
5130,2010,1,21,Mark,Herrell,383,1,1,1,0,1,1,1
5130,2010,1,NA,Scatter,,9,0,0,0,1,1,1,1
5130,2011,1,25,Jay,Zahn,1457,1,0,0,0,1,1,1
5130,2011,1,23,Jane,Luebker,1117,0,1,1,0,1,1,1
5130,2011,1,NA,Scatter,,9,0,0,0,1,1,1,1
5130,2012,1,24,Bill,Behme,684,1,1,1,0,1,1,1
5130,2012,1,18,Suzanne,Todey,761,1,1,1,0,1,1,1
5130,2012,1,17,Lisa,Bieri,715,1,1,1,0,1,1,1
5130,2012,1,NA,Scatter,,16,0,0,0,1,1,1,1
