distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5264,2002,1,1,Donald,Pahlow,2062,1,1,1,0,1,1,1,
5264,2002,1,2,Rod,Jensen,1750,0,0,0,0,1,1,1,
5264,2002,1,3,James,Heinz,2410,1,1,1,0,1,1,1,
5264,2002,1,4,Pamela,Kuck,1168,0,0,0,0,1,1,1,
5264,2002,1,5,Suzan,Hanamann,714,0,0,0,0,1,1,1,
5264,2002,1,6,Marcia,Yeager,2644,1,1,1,0,1,1,1,
5264,2003,1,7,Jeffrey,Hoffman,1685,1,1,1,0,2,2,1,
5264,2003,1,8,Bonnie,Little,939,0,0,0,0,2,2,1,
5264,2003,1,9,Richard,Martzke,916,0,0,0,0,2,2,1,
5264,2003,1,10,Alan,Heins,1769,1,0,0,0,2,2,1,
5264,2003,1,11,John,Granchay,2084,1,0,0,0,2,2,1,
5264,2004,1,12,Diane,Hoffman,1570,1,1,1,0,3,3,1,
5264,2004,1,13,Jean,Darling,1691,1,0,0,0,3,3,1,
5264,2004,1,14,Brett,Hoffman,1650,1,1,1,0,3,3,1,
5264,2005,1,3,James,Heinz,1431,1,1,1,0,4,4,1,
5264,2005,1,15,Claire,Christensen,1284,0,0,0,0,4,4,1,
5264,2005,1,6,Marcia,Yeager,1785,1,1,1,0,4,4,1,
5264,2005,1,16,Herb,Rycroft,631,0,0,0,0,4,4,1,
5264,2005,1,17,Gordan,Beyer,754,0,0,0,0,4,4,1,
5264,2005,1,18,Julie,Van Dyck,1371,1,0,0,0,4,4,1,
5264,2006,1,19,Wendy,Gueths,1491,1,0,0,0,5,5,1,
5264,2006,1,7,Jeffrey,Hoffman,1326,0,1,1,0,5,5,1,
5264,2006,1,10,Alan,Heins,2160,1,1,1,0,5,5,1,
5264,2006,1,11,John,Granchay,1912,1,1,1,0,5,5,1,
5264,2007,2,20,Jude,Wachtel,124,0,0,0,0,6,6,1,
5264,2007,2,13,Jean,Darling,610,1,1,1,0,6,6,1,
5264,2007,2,21,Jeana,Winslow,67,0,0,0,1,6,6,1,
5264,2007,2,14,Brett,Hoffman,297,1,1,1,0,6,6,1,
5264,2007,2,22,Michael,Eidahl,537,1,0,0,0,6,6,1,
5264,2007,2,12,Diane,Hoffman,316,1,1,1,0,6,6,1,
5264,2007,2,23,Mike,Tadych,609,1,0,0,0,6,6,1,
5264,2007,2,24,Brian,Retzlaff,335,1,0,0,0,7,7,1,
5264,2007,1,22,Michael,Eidahl,1401,1,0,0,0,7,7,1,
5264,2007,1,24,Brian,Retzlaff,813,0,0,0,0,7,7,1,
5264,2007,1,14,Brett,Hoffman,600,0,1,1,0,7,7,1,
5264,2007,1,13,Jean,Darling,1343,1,1,1,0,7,7,1,
5264,2007,1,23,Mike,Tadych,1246,0,0,0,0,7,7,1,
5264,2007,1,12,Diane,Hoffman,1307,1,1,1,0,7,7,1,
5264,2008,1,3,James,Heinz,1680,1,1,1,0,8,8,1,
5264,2008,1,18,Julie,Van Dyck,1195,1,1,1,0,8,8,1,
5264,2008,1,6,Marcia,Yeager,1422,1,1,1,0,8,8,1,
5264,2008,1,25,Jayson,Bastar,916,0,0,0,0,8,8,1,
5264,2009,1,26,Jay,Jones,1575,1,0,0,0,9,9,1,
5264,2009,1,10,Alan,Heins,1672,1,1,1,0,9,9,1,
5264,2009,1,11,John,Granchay,1584,1,1,1,0,9,9,1,
5264,2010,1,22,Michael,Eidahl,975,1,1,1,0,10,10,1,
5264,2010,1,12,Diane,Hoffman,740,1,1,1,0,10,10,1,
5264,2010,1,27,Ken,Shingler,1046,1,0,0,0,10,10,1,
5264,2010,1,28,Lisa,Hoffman,692,0,0,0,0,10,10,1,
5264,2011,1,3,James,Heinz,2775,1,1,1,0,11,11,1,
5264,2011,1,18,Julie,Van Dyck,1838,1,1,1,0,11,11,1,
5264,2011,1,6,Marcia,Yeager,2226,1,1,1,0,11,11,1,
5264,2011,1,29,Tom,Melchior,1415,0,0,0,0,11,11,1,
5264,2012,2,30,James,Rush,402,0,0,0,0,12,12,1,
5264,2012,2,31,Tyler,Schmidt,855,1,0,0,0,12,12,1,
5264,2012,2,11,John,Granchay,626,1,1,1,0,12,12,1,
5264,2012,1,26,Jay,Jones,2582,1,1,1,0,12,12,1,
5264,2012,1,10,Alan,Heins,2686,1,1,1,0,12,12,1,
5264,2012,1,11,John,Granchay,1257,0,1,1,0,12,12,1,
5264,2012,1,31,Tyler,Schmidt,1919,1,0,0,0,12,12,1,
