distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5278,2002,1,1,Mark,Melger,603,1,1,1,0,1,1,1,
5278,2002,1,2,Kimberly,Schmidt,622,1,1,1,0,1,1,1,
5278,2003,1,3,Dianne,Gatzke,1093,1,1,1,0,2,2,1,
5278,2003,1,4,Scott,Vollbrecht,1194,1,1,1,0,2,2,1,
5278,2004,1,5,Nellie,VanDam Schmitt,1416,1,0,0,0,3,3,1,
5278,2004,1,6,Steve,Thimmig,1494,1,0,0,0,3,3,1,
5278,2004,1,7,Tom,Bigler,1527,1,1,1,0,3,3,1,
5278,2005,1,8,Kelly,Fintelmann,1276,1,0,0,0,4,4,1,
5278,2005,1,9,Daniel,Setzer,1124,1,0,0,0,4,4,1,
5278,2005,1,2,Kimberly,Schmidt,531,0,1,1,0,4,4,1,
5278,2005,1,1,Mark,Melger,410,0,1,1,0,4,4,1,
5278,2005,1,NA,Scatter,,3,0,0,0,1,4,4,1,
5278,2006,1,10,Thomas,DePager,2542,1,0,0,0,5,5,1,
5278,2006,1,11,Greg,Pribek,1962,1,0,0,0,5,5,1,
5278,2006,1,12,John,Mauer,1826,1,0,0,0,5,5,1,
5278,2006,1,13,Gary,Gritt,1322,0,0,0,0,5,5,1,
5278,2006,1,14,Kathie,Norman,1317,0,0,0,0,5,5,1,
5278,2006,1,15,Debra,Denzer,854,0,0,0,0,5,5,1,
5278,2006,1,NA,Scatter,,13,0,0,0,1,5,5,1,
5278,2007,1,7,Tom,Bigler,1685,1,1,1,0,6,6,1,
5278,2007,1,6,Steve,Thimmig,1660,0,1,1,0,6,6,1,
5278,2007,1,12,John,Mauer,1770,1,1,1,0,6,6,1,
5278,2007,1,NA,Scatter,,31,0,0,0,1,6,6,1,
5278,2008,1,16,Sandy,Seifert,826,1,0,0,0,7,7,1,
5278,2008,1,17,Victoria,Bramstedt,774,1,0,0,0,7,7,1,
5278,2008,1,18,Jason,Vangalis,617,0,0,0,0,7,7,1,
5278,2008,1,15,Debra,Denzer,554,0,0,1,0,7,7,1,
5278,2008,1,NA,Scatter,,23,0,0,0,1,7,7,1,
5278,2009,1,11,Greg,Pribek,961,1,1,1,0,8,8,1,
5278,2009,1,19,Peter,Geise,939,1,0,0,0,8,8,1,
5278,2009,1,20,John,Raml,618,0,0,0,0,8,8,1,
5278,2009,1,NA,Scatter,,14,0,0,0,1,8,8,1,
5278,2010,1,12,John,Mauer,767,1,1,1,0,9,9,1,
5278,2010,1,21,Christopher,Lacey,698,1,0,0,0,9,9,1,
5278,2010,1,7,Tom,Bigler,613,1,1,1,0,9,9,1,
5278,2010,1,22,Dieter,Juedes,394,0,0,0,0,9,9,1,
5278,2010,1,20,John,Raml,368,0,0,1,0,9,9,1,
5278,2010,1,NA,Scatter,,10,0,0,0,1,9,9,1,
5278,2011,1,16,Sandy,Seifert,2023,1,1,1,0,10,10,1,
5278,2011,1,17,Victoria,Bramstedt,2067,1,1,1,0,10,10,1,
5278,2011,1,23,Linda,Adams,2133,1,1,0,0,10,10,1,
5278,2011,1,NA,Scatter,,64,0,0,0,1,10,10,1,
5278,2012,1,19,Peter,Geise,1396,1,1,1,0,11,11,1,
5278,2012,1,24,Steve,Aykens,893,0,0,0,0,11,11,1,
5278,2012,1,25,Kari,Riddell,1191,1,0,0,0,11,11,1,
5278,2012,1,NA,Scatter,,9,0,0,0,1,11,11,1,
