distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5362,2002,1,1,Tina,Cruse,367,1,0,0,0,1,1,1,
5362,2002,1,2,Jeff,Lutes,337,1,1,1,0,1,1,1,
5362,2002,1,NA,Scatter,,11,0,0,0,1,1,1,1,
5362,2003,1,3,Kari,Strang,389,1,0,0,0,2,2,1,
5362,2003,1,4,Charles,Gensler,294,0,1,1,0,2,2,1,
5362,2003,1,5,Bill,Graham,529,1,0,0,0,2,2,1,
5362,2003,1,6,Stephen,Schwartz,402,1,1,1,0,2,2,1,
5362,2003,1,7,,Milestone,360,0,0,0,0,2,2,1,
5362,2003,1,8,Darrell,Morrissey,362,0,0,0,0,2,2,1,
5362,2004,1,8,Darrell,Morrissey,422,1,0,1,0,3,3,1,
5362,2004,1,4,Charles,Gensler,356,1,1,1,0,3,3,1,
5362,2004,1,NA,Scatter,,20,0,0,0,1,3,3,1,
5362,2005,1,9,Lee,Gill,207,0,0,0,0,4,4,1,
5362,2005,1,1,Tina,Cruse,237,1,1,1,0,4,4,1,
5362,2005,1,10,Pamela,Harker,232,1,0,0,0,4,4,1,
5362,2006,1,6,Stephen,Schwartz,276,1,1,1,0,5,5,1,
5362,2006,1,9,Lee,Gill,317,1,0,1,0,5,5,1,
5362,2006,1,11,George,Morrissey,266,1,0,0,0,5,5,1,
5362,2006,1,12,Kevin,Hochberger,157,0,0,0,0,5,5,1,
5362,2007,1,13,Jim,Pahnke,285,1,0,0,0,6,6,1,
5362,2007,1,4,Charles,Gensler,141,0,1,1,0,6,6,1,
5362,2007,1,12,Kevin,Hochberger,236,1,0,1,0,6,6,1,
5362,2008,1,10,Pamela,Harker,385,1,1,1,0,7,7,1,
5362,2008,1,1,Tina,Cruse,336,1,1,1,0,7,7,1,
5362,2008,1,NA,Scatter,,5,0,0,0,1,7,7,1,
5362,2009,1,9,Lee,Gill,435,1,1,1,0,8,8,1,
5362,2009,1,11,George,Morrissey,293,1,1,1,0,8,8,1,
5362,2009,1,14,Emmett,Reilly,220,0,0,0,0,8,8,1,
5362,2009,1,15,Eugene,Uehling,264,1,0,0,0,8,8,1,
5362,2010,1,16,Erik,Kudronowicz,317,1,0,0,0,9,9,1,
5362,2010,1,14,Emmett,Reilly,202,1,0,1,0,9,9,1,
5362,2010,1,NA,Scatter,,10,0,0,0,1,9,9,1,
5362,2011,1,10,Pamela,Harker,356,1,1,1,0,10,10,1,
5362,2011,1,1,Tina,Cruse,328,1,1,1,0,10,10,1,
5362,2012,1,15,Eugene,Uehling,235,1,1,1,0,11,11,1,
5362,2012,1,9,Lee,Gill,245,1,1,1,0,11,11,1,
5362,2012,1,11,George,Morrissey,196,1,1,1,0,11,11,1,
5362,2012,1,NA,Scatter,14,0,0,0,0,1,11,11,1,
