distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5369,2002,1,1,Chris,Willkomm,278,1,1,1,0,1,1,1,
5369,2002,1,2,Mary,Vozel,180,0,0,0,0,1,1,1,
5369,2002,1,3,Jim,Burnett,206,1,1,1,0,1,1,1,
5369,2003,1,4,Barbara,Wetherbee,330,1,1,1,0,2,2,1,
5369,2003,1,5,Marshall,Stoxen,288,1,0,0,0,2,2,1,1 year term
5369,2003,1,2,Mary,Vozel,237,0,0,1,0,2,2,1,
5369,2003,1,NA,Scatter,,3,0,0,0,1,2,2,1,
5369,2004,1,5,Marshall,Stoxen,444,1,1,1,0,3,3,1,
5369,2004,1,6,Eric,Noble,380,1,0,0,0,3,3,1,1 year term
5369,2004,1,7,David,Betz,481,1,1,1,0,3,3,1,
5369,2004,1,NA,Scatter,,11,0,0,0,1,3,3,1,
5369,2005,1,2,Mary,Vozel,252,1,0,1,0,4,4,1,
5369,2005,1,1,Chris,Willkomm,296,1,1,1,0,4,4,1,
5369,2005,1,8,Marilyn,Dahlen,208,0,0,0,0,4,4,1,
5369,2005,1,6,Eric,Noble,187,0,1,1,0,4,4,1,
5369,2005,1,NA,Scatter,,1,0,0,0,1,4,4,1,
5369,2006,1,8,Marilyn,Dahlen,237,0,0,1,0,5,5,1,
5369,2006,1,9,Dave,VanKampen,326,1,0,0,0,5,5,1,
5369,2006,1,10,Brent,Brenner,280,1,0,0,0,5,5,1,1 year term
5369,2006,1,NA,Scatter,,3,0,0,0,1,5,5,1,
5369,2007,1,10,Brent,Brenner,318,1,1,1,0,6,6,1,
5369,2007,1,11,James,Walker,282,1,0,0,0,6,6,1,
5369,2007,1,NA,Scatter,,4,0,0,0,1,6,6,1,
5369,2008,1,2,Mary,Vozel,243,1,1,1,0,7,7,1,
5369,2008,1,1,Chris,Willkomm,317,1,1,1,0,7,7,1,
5369,2008,1,NA,Scatter,,2,0,0,0,1,7,7,1,
5369,2009,1,9,Dave,VanKampen,531,1,1,1,0,8,8,1,
5369,2009,1,NA,Scatter,,5,0,0,0,1,8,8,1,
5369,2010,1,11,James,Walker,221,1,1,1,0,9,9,1,
5369,2010,1,10,Brent,Brenner,238,1,1,1,0,9,9,1,
5369,2010,1,12,Susan,Kube,218,0,0,0,0,9,9,1,
5369,2010,1,NA,Scatter,,9,0,0,0,1,9,9,1,
5369,2011,1,1,Chris,Willkomm,504,1,1,1,0,10,10,1,
5369,2011,1,2,Mary,Vozel,434,1,1,1,0,10,10,1,
5369,2011,1,13,Cliff,Moudy,288,0,0,0,0,10,10,1,
5369,2011,1,12,Susan,Kube,335,0,0,1,0,10,10,1,
5369,2011,1,NA,Scatter,,11,0,0,0,1,10,10,1,
5369,2012,1,9,Dave,VanKampen,542,1,1,1,0,11,11,1,
5369,2012,1,14,Bert,Christensen,525,0,0,0,0,11,11,1,
5369,2012,1,NA,Scatter,,1,0,0,0,1,11,11,1,
