distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5390,2002,1,1,Bruce,Hassler,816,1,1,1,0,1,1,1,
5390,2002,1,2,Marilyn,Mayer,924,1,1,1,0,1,1,1,
5390,2002,1,NA,Scatter,,9,0,0,0,1,1,1,1,
5390,2003,1,3,Ken,Strupp,1347,1,1,1,0,2,2,1,
5390,2003,1,4,Kurt,Klwinhans,1330,1,1,1,0,2,2,1,
5390,2003,1,NA,Scatter,,5,0,0,0,1,2,2,1,
5390,2004,1,5,Jan,Prusha,532,0,0,0,0,3,3,1,
5390,2004,1,6,Allen,Blank,592,0,1,1,0,3,3,1,
5390,2004,1,7,Gary,Feltz,667,1,1,1,0,3,3,1,
5390,2004,1,8,Tim,Wiedmeyer,1079,1,1,1,0,3,3,1,
5390,2004,1,9,Brian,Leeson,918,1,0,0,0,3,3,1,
5390,2004,1,NA,Scatter,,2,0,0,0,1,3,3,1,
5390,2005,1,1,Bruce,Hassler,872,1,1,1,0,4,4,1,
5390,2005,1,2,Marilyn,Mayer,1078,1,1,1,0,4,4,1,
5390,2005,1,10,,Megonigle,527,0,0,0,0,4,4,1,
5390,2005,1,6,Allen,Blank,577,0,0,1,0,4,4,1,
5390,2005,1,NA,Scatter,,10,0,0,0,1,4,4,1,
5390,2006,1,3,Ken,Strupp,666,1,1,1,0,5,5,1,
5390,2006,1,11,Kim,Ramos,578,1,0,0,0,5,5,1,
5390,2006,1,12,Larry,Hejlik,529,0,0,0,0,5,5,1,
5390,2006,1,6,Allen,Blank,373,0,0,1,0,5,5,1,
5390,2006,1,NA,Scatter,,6,0,0,0,1,5,5,1,
5390,2007,1,8,Tim,Wiedmeyer,2131,1,1,1,0,6,6,1,
5390,2007,1,9,Brian,Leeson,1794,1,1,1,0,6,6,1,
5390,2007,1,7,Gary,Feltz,1569,1,1,1,0,6,6,1,
5390,2007,1,6,Allen,Blank,1096,0,0,1,0,6,6,1,
5390,2007,1,NA,Scatter,,15,0,0,0,1,6,6,1,
5390,2008,1,13,Becky,Gundrum,1296,1,0,0,0,7,7,1,
5390,2008,1,1,Bruce,Hassler,1127,1,1,1,0,7,7,1,
5390,2008,1,6,Allen,Blank,723,0,0,1,0,7,7,1,
5390,2008,1,NA,Scatter,,4,0,0,0,1,7,7,1,
5390,2009,1,11,Kim,Ramos,1108,1,1,1,0,8,8,1,
5390,2009,1,3,Ken,Strupp,1350,1,1,1,0,8,8,1,
5390,2009,1,NA,Scatter,,9,0,0,0,1,8,8,1,
5390,2010,1,7,Gary,Feltz,499,1,1,1,0,9,9,1,
5390,2010,1,9,Brian,Leeson,546,1,1,1,0,9,9,1,
5390,2010,1,8,Tim,Wiedmeyer,592,1,1,1,0,9,9,1,
5390,2010,1,NA,Scatter,,16,0,0,0,1,9,9,1,
5390,2011,1,1,Bruce,Hassler,2373,1,1,1,0,10,10,1,
5390,2011,1,14,Tom,Matasek,1427,0,0,0,0,10,10,1,
5390,2011,1,13,Becky,Gundrum,2655,1,1,1,0,10,10,1,
5390,2011,1,NA,Scatter,,25,0,0,0,1,10,10,1,
5390,2012,2,3,Ken,Strupp,423,1,1,1,0,11,11,1,
5390,2012,2,15,Cherie,Rhodes,342,1,0,0,0,11,11,1,
5390,2012,2,16,Candi,Martin,160,1,0,0,0,11,11,1,
5390,2012,2,14,Tom,Matasek,124,0,0,1,0,11,11,1,
5390,2012,2,17,Cheryl,Korinek,211,1,0,0,0,11,11,1,
5390,2012,2,18,Mark,Hammer,113,0,0,0,0,11,11,1,
5390,2012,2,NA,Scatter,,3,0,0,0,1,11,11,1,
5390,2012,1,3,Ken,Strupp,1940,1,1,1,0,12,12,1,
5390,2012,1,15,Cherie,Rhodes,1219,1,0,0,0,12,12,1,
5390,2012,1,16,Candi,Martin,1072,0,0,0,0,12,12,1,
5390,2012,1,17,Cheryl,Korinek,870,0,0,0,0,12,12,1,
5390,2012,1,NA,Scatter,,18,0,0,0,1,12,12,1,
