distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5457,2002,1,1,William,Berglund,1013,0,1,1,0,1,1,1,
5457,2002,1,2,Perry,DeGrave,1023,1,0,0,0,1,1,1,
5457,2002,1,3,Charles,Bretl,1229,1,1,1,0,1,1,1,
5457,2002,1,4,Kelly,Tassoul,1230,1,1,1,0,1,1,1,
5457,2002,1,NA,Scatter,,8,0,0,0,1,1,1,1,
5457,2003,1,1,William,Berglund,804,0,0,1,0,2,2,1,
5457,2003,1,5,Thomas,Weidner,970,1,1,1,0,2,2,1,
5457,2003,1,6,Allen,Blizel,915,1,0,0,0,2,2,1,
5457,2003,1,NA,Scatter,,6,0,0,0,1,2,2,1,
5457,2004,2,7,Roger,Schubert,314,0,0,0,0,3,3,1,
5457,2004,2,8,Larry,Jeanquart,495,1,1,1,0,3,3,1,
5457,2004,2,9,Steve,Bretl,566,1,1,1,0,3,3,1,
5457,2004,2,1,William,Berglund,323,0,0,1,0,3,3,1,
5457,2004,2,10,LeRoy,Klein,496,1,1,1,0,3,3,1,
5457,2004,2,11,Kim,Welch,470,1,0,0,0,3,3,1,
5457,2004,2,NA,Scatter,,8,0,0,0,1,3,3,1,
5457,2004,1,10,LeRoy,Klein,594,0,1,1,0,4,4,1,
5457,2004,1,8,Larry,Jeanquart,684,1,1,1,0,4,4,1,
5457,2004,1,9,Steve,Bretl,735,1,1,1,0,4,4,1,
5457,2004,1,11,Kim,Welch,582,0,0,0,0,4,4,1,
5457,2004,1,NA,Scatter,,2,0,0,0,1,4,4,1,
5457,2005,1,2,Perry,DeGrave,1264,1,1,1,0,5,5,1,
5457,2005,1,3,Charles,Bretl,1354,1,1,1,0,5,5,1,
5457,2005,1,4,Kelly,Tassoul,1342,1,1,1,0,5,5,1,
5457,2005,1,NA,Scatter,,18,0,0,0,1,5,5,1,
5457,2006,1,12,Lori,Sampo,615,1,0,0,0,6,6,1,
5457,2006,1,13,Lisa,Mraz,758,1,0,0,0,6,6,1,
5457,2006,1,6,Allen,Blizel,494,0,1,1,0,6,6,1,
5457,2007,1,9,Steve,Bretl,794,1,1,1,0,7,7,1,
5457,2007,1,14,Carl,Waterstreet,573,0,0,0,0,7,7,1,
5457,2007,1,8,Larry,Jeanquart,592,1,1,1,0,7,7,1,
5457,2007,1,15,Irene,Hucek,525,0,0,0,0,7,7,1,
5457,2007,1,NA,Scatter,,1,0,0,0,1,7,7,1,
5457,2008,1,4,Kelly,Tassoul,626,0,1,1,0,8,8,1,
5457,2008,1,16,Brenda,Olsen,1026,1,0,0,0,8,8,1,
5457,2008,1,3,Charles,Bretl,865,1,1,1,0,8,8,1,
5457,2008,1,2,Perry,DeGrave,674,1,1,1,0,8,8,1,
5457,2008,1,NA,Scatter,,47,0,0,0,1,8,8,1,
5457,2009,1,12,Lori,Sampo,725,1,1,1,0,9,9,1,
5457,2009,1,17,Dawn,Routhleaux,717,1,0,0,0,9,9,1,
5457,2009,1,18,Thad,Ash,235,0,0,0,0,9,9,1,
5457,2009,1,NA,Scatter,,15,0,0,0,1,9,9,1,
5457,2010,1,8,Larry,Jeanquart,370,0,1,1,0,10,10,1,
5457,2010,1,9,Steve,Bretl,503,1,1,1,0,10,10,1,
5457,2010,1,19,Mike,Holwald,397,0,0,0,0,10,10,1,
5457,2010,1,20,Dustin,Miller,633,1,0,0,0,10,10,1,
5457,2010,1,NA,Scatter,,7,0,0,0,1,10,10,1,
5457,2011,1,2,Perry,DeGrave,772,0,1,1,0,11,11,1,
5457,2011,1,21,Deb,Kluth,1242,1,0,0,0,11,11,1,
5457,2011,1,22,Terry,McNulty,1197,1,0,0,0,11,11,1,
5457,2011,1,23,Pamela,Parks,1521,1,0,0,0,11,11,1,
5457,2011,1,8,Larry,Jeanquart,795,0,0,1,0,11,11,1,
5457,2011,1,3,Charles,Bretl,994,0,1,1,0,11,11,1,
5457,2011,1,NA,Scatter,,25,0,0,0,1,11,11,1,
5457,2012,2,3,Charles,Bretl,320,1,0,1,0,12,12,1,
5457,2012,2,24,Dawn,Starr,273,1,0,0,0,12,12,1,
5457,2012,2,12,Lori,Sampo,261,1,1,1,0,12,12,1,
5457,2012,2,25,Polly,Alberts,413,1,0,0,0,12,12,1,
5457,2012,2,2,Perry,DeGrave,128,0,0,1,0,12,12,1,
5457,2012,2,NA,Scatter,,5,0,0,0,1,12,12,1,
5457,2012,1,25,Polly,Alberts,1179,1,0,0,0,13,13,1,
5457,2012,1,24,Dawn,Starr,761,0,0,0,0,13,13,1,
5457,2012,1,3,Charles,Bretl,819,1,0,1,0,13,13,1,
5457,2012,1,12,Lori,Sampo,656,0,1,1,0,13,13,1,
5457,2012,1,NA,Scatter,,9,0,0,0,1,13,13,1,
