distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
2422,2002,1,1,Karen,Grossaint,483,0,1,1,0,1,1,1,
2422,2002,1,2,Kevin,Bloom,557,1,0,0,0,1,1,1,
2422,2002,1,3,Mary,Rivard,571,1,1,1,0,1,1,1,
2422,2002,1,4,,Hable,409,0,0,0,0,1,1,1,
2422,2004,1,5,Kirk,Lyksett,321,1,0,0,0,2,2,1,
2422,2004,1,6,Jeff,Redmon,298,1,1,1,0,2,2,1,
2422,2004,1,7,Kay,Zwald,266,1,1,1,0,2,2,1,2 year term
2422,2005,1,8,David,Olsen,387,1,0,0,0,3,3,1,
2422,2005,1,9,John,Hueg,330,1,0,0,0,3,3,1,
2422,2005,1,10,,Albright,282,0,0,0,0,3,3,1,
2422,2005,1,11,,Monroe,206,0,0,0,0,3,3,1,
2422,2007,1,5,Kirk,Lyksett,955,1,1,1,0,4,4,1,
2422,2007,1,6,Jeff,Redmon,954,1,1,1,0,4,4,1,
2422,2008,1,9,John,Hueg,376,1,1,1,0,5,5,1,
2422,2008,1,8,David,Olsen,414,1,1,1,0,5,5,1,
2422,2008,1,NA,Scatter,,9,0,0,0,1,5,5,1,
2422,2009,1,12,,Cottrell,376,0,0,0,0,6,6,1,
2422,2009,1,13,Howard,Kruschke,486,1,0,0,0,6,6,1,
2422,2009,1,14,Scott,DeGross,557,1,0,0,0,6,6,1,
2422,2009,1,7,Kay,Zwald,496,1,1,1,0,6,6,1,
2422,2009,1,NA,Scatter,,7,0,0,0,1,6,6,1,
2422,2010,1,5,Kirk,Lyksett,287,1,1,1,0,7,7,1,
2422,2010,1,6,Jeff,Redmon,269,1,1,1,0,7,7,1,
2422,2010,1,NA,Scatter,,5,0,0,0,1,7,7,1,
2422,2011,1,9,John,Hueg,958,1,1,1,0,8,8,1,
2422,2011,1,8,David,Olsen,1003,1,1,1,0,8,8,1,
2422,2011,1,NA,Scatter,,14,0,0,0,1,8,8,1,
2422,2012,1,14,Scott,DeGross,845,1,1,1,0,9,9,1,
2422,2012,1,13,Howard,Kruschke,808,1,1,1,0,9,9,1,
2422,2012,1,7,Kay,Zwald,841,1,1,1,0,9,9,1,
2422,2012,1,NA,Scatter,,13,0,0,0,1,9,9,1,
