distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5593,2002,2,1,Dale,Abrahamson,34,0,1,1,1,1,0,1,
5593,2002,2,2,Jerry,Kelley,25,0,0,0,1,1,0,1,
5593,2002,2,3,Steve,Hinke,141,1,0,0,0,1,0,1,
5593,2002,2,4,Scott,Harris,70,1,0,0,1,1,0,1,
5593,2002,2,5,Mike,Henke,54,0,0,0,1,1,0,1,
5593,2002,1,6,Wally,Diekfuss,200,0,0,0,0,2,0,1,
5593,2002,1,7,Bob,Geist,423,1,0,0,0,2,0,1,
5593,2002,1,8,Kathleen,Benzschawel,356,1,0,0,0,2,0,1,
5593,2002,1,9,Dennis,Brayton,231,0,1,1,0,2,0,1,
5593,2002,1,10,Jeff,Zais,28,0,0,0,1,2,0,1,
5593,2002,1,3,Steve,Hinke,363,1,0,0,0,2,0,1,
5593,2002,1,4,Scott,Harris,272,0,0,0,0,2,0,1,
5593,2003,1,11,Dennis,Johnson,342,1,1,1,0,3,0,1,
5593,2003,1,12,Patrick,Hein,155,0,0,0,0,3,0,1,
5593,2003,1,13,Tony,Bielecki,345,1,1,1,0,3,0,1,
5593,2003,1,NA,Scatter,,65,0,0,0,1,3,0,1,
5593,2004,1,14,Tammy,Tom-Steinmetz,244,1,1,1,0,4,0,1,
5593,2004,1,15,Pamela,Dubiel,252,1,1,1,0,4,0,1,
5593,2004,1,16,Cheryl,Broda,57,0,0,0,1,4,0,1,
5593,2004,1,NA,Scatter,,12,0,0,0,1,4,0,1,
5593,2005,1,17,Kathy,France,508,1,0,0,0,5,0,1,
5593,2005,1,8,Kathleen,Benzschawel,483,1,1,1,0,5,0,1,
5593,2005,1,3,Steve,Hinke,509,1,1,1,0,5,0,1,
5593,2006,2,13,Tony,Bielecki,63,1,1,1,1,6,0,1,
5593,2006,2,1,Dale,Abrahamson,14,0,0,1,1,6,0,1,
5593,2006,2,18,Richard,Vircks,72,1,1,0,1,6,0,1,
5593,2006,2,19,Brad,Schaffer,47,0,0,0,1,6,0,1,
5593,2007,1,20,Jeff,Bore,577,1,0,0,0,7,0,1,
5593,2007,1,21,Brent,Milas,602,1,0,0,0,7,0,1,
5593,2009,1,18,Richard,Vircks,630,1,1,1,0,8,0,1,
5593,2009,1,22,Lyle,Swartz,516,1,0,0,0,8,0,1,
5593,2010,1,20,Jeff,Bore,211,0,1,1,0,9,0,1,
5593,2010,1,21,Brent,Milas,212,1,1,1,0,9,0,1,
5593,2010,1,NA,Scatter,,8,0,0,0,1,9,0,1,
5593,2011,1,22,Jacqueline,Holub,945,1,0,0,0,10,0,1,
5593,2011,1,5,Mike,Henke,940,1,0,1,0,10,0,1,
5593,2011,1,8,Kathleen,Benzschawel,58,1,1,1,1,10,0,1,
5593,2011,1,23,Amy,Murphy,25,0,0,0,1,10,0,1,
5593,2011,1,24,Lois,Meyer,8,0,0,0,1,10,0,1,
