distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5621,2002,1,1,Yolanda,Staats,1099,0,0,0,0,1,1,1,
5621,2002,1,2,Robert,Kluge,745,0,0,0,0,1,1,1,
5621,2002,1,3,Cindy,Culham,2776,1,0,0,0,1,1,1,
5621,2002,1,4,Erv,Lee,1217,0,1,1,0,1,1,1,
5621,2002,1,5,Howard,Nevanen,2245,1,0,0,0,1,1,1,
5621,2002,1,6,Jerry,Deschane,2607,1,1,1,0,1,1,1,
5621,2002,1,NA,Scatter,,19,0,0,0,1,1,1,1,
5621,2003,1,7,John,Cook,2405,1,0,0,0,2,2,1,
5621,2003,1,8,Marge,Stokstad,1846,0,1,1,0,2,2,1,
5621,2003,1,9,Nic,Dibble,2269,1,0,0,0,2,2,1,
5621,2003,1,10,Eric,Nels Hohol,687,0,0,0,0,2,2,1,
5621,2003,1,11,Patricia,Lund,2243,1,1,1,0,2,2,1,
5621,2004,1,12,Ruth,Fortney,2775,1,0,0,0,3,3,1,
5621,2004,1,10,Eric,Nels Hohol,1402,0,0,1,0,3,3,1,
5621,2004,1,13,Marc,Soderbloom,2350,0,0,0,0,3,3,1,
5621,2004,1,14,David,Handt,2383,1,1,1,0,3,3,1,
5621,2004,1,15,John,Pundt,2428,1,0,0,0,3,3,1,
5621,2005,1,5,Howard,Nevanen,1922,1,1,1,0,4,4,1,
5621,2005,1,8,Marge,Stokstad,1759,0,0,1,0,4,4,1,
5621,2005,1,16,Tim,Swadley,1966,1,0,0,0,4,4,1,
5621,2005,1,17,Terry,McArdle,1904,1,0,0,0,4,4,1,
5621,2006,1,9,Nic,Dibble,2315,1,1,1,0,5,5,1,
5621,2006,1,7,John,Cook,2260,1,1,1,0,5,5,1,
5621,2006,1,18,Andrea,Romine,1573,0,0,0,0,5,5,1,
5621,2006,1,19,Marj,Pertzborn,2152,1,0,0,0,5,5,1,
5621,2007,1,20,Fred,Hundt,1623,0,0,0,0,6,6,1,
5621,2007,1,21,Audre,Kurowski,826,0,0,0,0,6,6,1,
5621,2007,1,14,David,Handt,2215,1,1,1,0,6,6,1,
5621,2007,1,15,John,Pundt,2042,1,1,1,0,6,6,1,
5621,2007,1,12,Ruth,Fortney,2403,1,1,1,0,6,6,1,
5621,2008,1,20,Fred,Hundt,1568,1,0,1,0,7,7,1,
5621,2008,1,16,Tim,Swadley,1553,1,1,1,0,7,7,1,
5621,2008,1,22,Liz,Menzer,1568,1,0,0,0,7,7,1,
5621,2009,1,23,Pat,Volk,2025,1,0,0,0,8,8,1,
5621,2009,1,24,Tina,Hunter,2159,1,0,0,0,8,8,1,
5621,2009,1,25,Terri,Watkins,2269,1,0,0,0,8,8,1,
5621,2009,1,26,Cindy,Polizzi,1667,0,0,0,0,8,8,1,
5621,2010,1,27,Donna,Tarpinian,3788,1,0,0,0,9,9,1,
5621,2010,1,15,John,Pundt,3280,1,1,1,0,9,9,1,
5621,2010,1,28,Scott,Dirks,3253,1,0,0,0,9,9,1,
5621,2010,1,29,Larry,Roberts,2763,0,0,0,0,9,9,1,
5621,2011,1,30,Brett,Schumacher,3369,1,0,0,0,10,10,1,
5621,2011,1,31,Amy,McFarland,3570,1,0,0,0,10,10,1,
5621,2011,1,22,Liz,Menzer,3949,1,1,1,0,10,10,1,
5621,2011,1,32,Peter,Kocher,2357,0,0,0,0,10,10,1,
5621,2012,1,24,Tina,Hunter,2399,1,1,1,0,11,11,1,
5621,2012,1,26,Cindy,Polizzi,1406,0,0,1,0,11,11,1,
5621,2012,1,33,Verlynn,Schmalle,1877,1,0,0,0,11,11,1,
5621,2012,1,23,Pat,Volk,2020,1,1,1,0,11,11,1,
5621,2012,1,NA,Scatter,,50,0,0,0,1,11,11,1,
