distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5747,2002,2,1,Nodji,Van Wychen,717,1,1,1,0,1,1,1,
5747,2002,2,2,Robert,Johannes,244,0,0,0,0,1,1,1,
5747,2002,2,3,Gene,Baumgarten,711,1,1,1,0,1,1,1,
5747,2002,2,4,Larry,Siekert,514,1,0,0,0,1,1,1,
5747,2002,2,5,Martha,Klatt,564,1,1,1,0,1,1,1,
5747,2002,2,6,Steve,Kuhl,768,1,0,0,0,1,1,1,
5747,2002,2,7,Dave,Stutzman,846,1,0,0,0,1,1,1,
5747,2002,2,8,Jim,Duncan,482,0,0,0,0,1,1,1,
5747,2002,2,NA,Scatter,,12,0,0,0,1,1,1,1,
5747,2002,1,4,Larry,Siekert,1442,0,0,0,0,2,2,1,
5747,2002,1,1,Nodji,Van Wychen,1639,0,1,1,0,2,2,1,
5747,2002,1,5,Martha,Klatt,1686,1,1,1,0,2,2,1,
5747,2002,1,3,Gene,Baumgarten,1662,1,1,1,0,2,2,1,
5747,2002,1,6,Steve,Kuhl,1542,0,0,0,0,2,2,1,
5747,2002,1,7,Dave,Stutzman,1983,1,0,0,0,2,2,1,
5747,2002,1,NA,Scatter,,10,0,0,0,1,2,2,1,
5747,2003,1,9,Scott,Nicol,1383,1,1,1,0,3,3,1,
5747,2003,1,10,Mary Ellen,Justinger,975,1,0,0,0,3,3,1,
5747,2003,1,11,Gwen,Nelson,660,0,0,0,0,3,3,1,
5747,2003,1,12,Joan,Greendeer-Lee,540,0,0,0,0,3,3,1,
5747,2003,1,NA,Scatter,,4,0,0,0,1,3,3,1,
5747,2004,1,13,Noel,Tiarks,562,0,0,0,0,4,4,1,
5747,2004,1,14,Gary,Grovesteen,1202,1,1,1,0,4,4,1,
5747,2004,1,15,Dennis,Workman,1103,1,1,1,0,4,4,1,
5747,2004,1,NA,Scatter,,3,0,0,0,1,4,4,1,
5747,2005,2,16,Debra,Buswell,420,1,0,0,0,5,5,1,
5747,2005,2,5,Martha,Klatt,346,1,1,1,0,5,5,1,
5747,2005,2,13,Noel,Tiarks,60,0,0,1,1,5,5,1,
5747,2005,2,3,Gene,Baumgarten,431,1,1,1,0,5,5,1,
5747,2005,2,7,Dave,Stutzman,409,1,1,1,0,5,5,1,
5747,2005,2,17,Brian,Moravec,241,1,0,0,0,5,5,1,
5747,2005,2,12,Joan,Greendeer-Lee,237,1,0,1,0,5,5,1,
5747,2005,2,NA,Scatter,,5,0,0,0,1,5,5,1,
5747,2005,1,12,Joan,Greendeer-Lee,1141,1,0,1,0,6,6,1,
5747,2005,1,7,Dave,Stutzman,1211,1,1,1,0,6,6,1,
5747,2005,1,17,Brian,Moravec,645,0,0,0,0,6,6,1,
5747,2005,1,3,Gene,Baumgarten,1214,1,1,1,0,6,6,1,
5747,2005,1,5,Martha,Klatt,956,0,1,1,0,6,6,1,
5747,2005,1,16,Debra,Buswell,1042,0,0,0,0,6,6,1,
5747,2005,1,NA,Scatter,,7,0,0,0,1,6,6,1,
5747,2006,1,16,Debra,Buswell,1028,1,0,1,0,7,7,1,
5747,2006,1,10,Mary Ellen,Justinger,1048,1,1,1,0,7,7,1,
5747,2006,1,7,Dave,Stutzman,1097,1,1,1,0,7,7,1,
5747,2006,1,NA,Scatter,,15,0,0,0,1,7,7,1,
5747,2007,1,14,Gary,Grovesteen,1429,1,1,1,0,8,8,1,
5747,2007,1,17,Brian,Moravec,935,0,1,1,0,8,8,1,
5747,2007,1,18,Wayne,Kling,587,0,0,0,0,8,8,1,
5747,2007,1,19,Pam,Buchda,1067,1,0,0,0,8,8,1,
5747,2007,1,NA,Scatter,,10,0,0,0,1,8,8,1,
5747,2008,2,12,Joan,Greendeer-Lee,1797,1,1,1,0,9,9,1,
5747,2008,2,17,Brian,Moravec,1189,1,0,1,0,9,9,1,
5747,2008,2,20,James,Brochu,474,0,0,0,0,9,9,1,
5747,2008,2,21,Todd,Stark,1074,1,0,0,0,9,9,1,
5747,2008,2,16,Debra,Buswell,1787,1,1,1,0,9,9,1,
5747,2008,2,22,Judy,Deming,2469,1,0,0,0,9,9,1,
5747,2008,2,23,Darren,Price,1331,1,0,0,0,9,9,1,
5747,2008,2,18,Wayne,Kling,670,0,0,1,0,9,9,1,
5747,2008,2,24,Nathan,Graewin,546,0,0,0,0,9,9,1,
5747,2008,2,NA,Scatter,,21,0,0,0,1,9,9,1,
5747,2008,1,21,Todd,Stark,816,0,0,0,0,10,10,1,
5747,2008,1,16,Debra,Buswell,1307,1,1,1,0,10,10,1,
5747,2008,1,23,Darren,Price,1127,0,0,0,0,10,10,1,
5747,2008,1,12,Joan,Greendeer-Lee,1160,1,1,1,0,10,10,1,
5747,2008,1,17,Brian,Moravec,894,0,0,1,0,10,10,1,
5747,2008,1,22,Judy,Deming,1835,1,0,0,0,10,10,1,
5747,2008,1,NA,Scatter,,2,0,0,0,1,10,10,1,
5747,2009,1,25,Jerry,Fushianes,516,0,0,0,0,11,11,1,
5747,2009,1,7,Dave,Stutzman,1230,1,1,1,0,11,11,1,
5747,2009,1,10,Mary Ellen,Justinger,1176,1,1,1,0,11,11,1,
5747,2009,1,18,Wayne,Kling,434,0,0,1,0,11,11,1,
5747,2009,1,NA,Scatter,,6,0,0,0,1,11,11,1,
5747,2010,1,18,Wayne,Kling,902,0,0,1,0,12,12,1,
5747,2010,1,14,Gary,Grovesteen,1715,1,1,1,0,12,12,1,
5747,2010,1,25,Jerry,Fushianes,1402,1,0,1,0,12,12,1,2 year term
5747,2010,1,19,Pam,Buchda,1604,1,0,1,0,12,12,1,
5747,2010,1,NA,Scatter,,21,0,0,0,1,12,12,1,
5747,2011,2,26,Ronald,Lear,91,0,0,0,1,13,13,1,
5747,2011,2,27,John,McMullen,368,1,0,0,0,13,13,1,
5747,2011,2,28,Chris,King,228,1,0,0,0,13,13,1,
5747,2011,2,16,Debra,Buswell,538,1,1,1,0,13,13,1,
5747,2011,2,22,Judy,Deming,683,1,1,1,0,13,13,1,
5747,2011,2,18,Wayne,Kling,231,1,0,1,0,13,13,1,
5747,2011,2,29,Matthew,Boyea,252,1,0,0,0,13,13,1,
5747,2011,1,16,Debra,Buswell,2338,1,1,1,0,14,14,1,
5747,2011,1,18,Wayne,Kling,86,0,0,1,0,14,14,1,
5747,2011,1,27,John,McMullen,1531,1,0,0,0,14,14,1,
5747,2011,1,29,Matthew,Boyea,814,0,0,0,0,14,14,1,
5747,2011,1,22,Judy,Deming,2660,1,1,1,0,14,14,1,
5747,2011,1,28,Chris,King,1125,0,0,0,0,14,14,1,
5747,2011,1,NA,Scatter,,14,0,0,0,1,14,14,1,
5747,2012,2,25,Jerry,Fushianes,501,1,1,1,0,15,15,1,
5747,2012,2,18,Wayne,Kling,276,0,0,1,0,15,15,1,
5747,2012,2,30,Scott,Wilcox,333,0,0,0,0,15,15,1,
5747,2012,2,31,Katherine,Moseley,434,1,0,0,0,15,15,1,
5747,2012,2,32,Kelly,Hodgson Kline,390,1,0,0,0,15,15,1,
5747,2012,2,33,Brian,Hennessey,391,1,0,0,0,15,15,1,
5747,2012,2,NA,Scatter,,7,0,0,0,1,15,15,1,
5747,2012,1,32,Kelly,Hodgson Kline,1321,0,0,0,0,16,16,1,
5747,2012,1,33,Brian,Hennessey,1330,1,0,0,0,16,16,1,
5747,2012,1,31,Katherine,Moseley,1719,1,0,0,0,16,16,1,
