distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
5901,2007,1,1,Kenneth,Behnke,2349,1,1,1,0,1,1,1,
5901,2007,1,2,Amy,Almond,2239,1,1,1,0,1b,2,0,
5901,2008,1,3,Kathy,Pielage,2738,1,1,1,0,2,3,1,
5901,2008,1,4,Dennis,Beres,2694,1,0,0,0,2c,4,0,
5901,2009,1,5,Renee,Zook,2205,1,0,0,0,3,5,1,
5901,2009,1,6,Charyn,Grandau,1521,1,1,1,0,3,5,1,
5901,2009,1,7,Tom,Duerst,50,0,1,1,1,3a,6,0,
5901,2009,1,8,Joanne,Gauthier,76,1,0,0,1,3a,6,0,
5901,2010,1,1,Ken,Behnke,1453,1,1,1,0,4,7,1,
5901,2010,1,2,Amy,Almond,1376,1,1,1,0,4b,8,0,
5901,2011,1,9,Jeannie,Porter,3912,1,0,0,0,5,9,1,
5901,2011,1,10,Robert,Otremba,1717,0,0,0,0,5,9,1,
5901,2011,1,4,Dennis,Beres,5054,1,1,1,0,5c,10,0,Unopposed
5901,2012,1,5,Renee,Zook,2101,1,1,1,0,6,11,1,
5901,2012,1,6,Charyn,Grandau,1582,0,1,1,0,6,11,1,
5901,2012,1,11,John,McMulley,2372,1,0,0,0,6,11,1,
5901,2012,1,8,Joanne,Gauthier,3173,1,1,1,0,6a,12,0,Unopposed
