distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6125,2002,1,1,Jeff,Rammekt,1031,0,0,0,0,1,1,1,
6125,2002,1,2,Mark,Holland,1252,1,0,0,0,1,1,1,
6125,2002,1,3,Mark,Uttech,1482,1,1,1,0,1,1,1,
6125,2002,1,4,Andrew,Gee,1173,1,0,0,0,1,1,1,
6125,2003,1,5,Janet,Hoy,2342,1,1,1,0,2,2,1,
6125,2003,1,6,Dennis,Rambo,2249,1,1,1,0,2,2,1,
6125,2003,1,7,Julaine,Appling,2195,1,1,1,0,2,2,1,
6125,2004,1,8,John,Siedschlag,1147,0,0,0,0,3,3,1,
6125,2004,1,9,Victor,Miller,1309,0,1,1,0,3,3,1,
6125,2004,1,10,Ron,Buchanan,1360,1,1,1,0,3,3,1,
6125,2004,1,11,Kate,Lapin,1908,1,0,0,0,3,3,1,
6125,2004,1,12,Rochelle,Ready,1324,1,0,0,0,3,3,1,
6125,2005,1,2,Mark,Holland,1890,1,1,1,0,4,4,1,
6125,2005,1,4,Andrew,Gee,1791,1,1,1,0,4,4,1,
6125,2005,1,3,Mark,Uttech,2040,1,1,1,0,4,4,1,
6125,2006,1,6,Dennis,Rambo,2559,1,1,1,0,5,5,1,
6125,2006,1,13,Michael,Kukawski,2121,1,0,0,0,5,5,1,
6125,2006,1,14,Kurt,Larson,2195,1,0,0,0,5,5,1,
6125,2006,1,8,John,Siedschlag,2005,0,0,1,0,5,5,1,
6125,2007,1,12,Rochelle,Ready,3077,0,1,1,0,6,6,1,
6125,2007,1,10,Ron,Buchanan,4079,1,1,1,0,6,6,1,
6125,2007,1,15,Stephanie,Griggs,3811,1,0,0,0,6,6,1,
6125,2007,1,11,Kate,Lapin,4247,1,1,1,0,6,6,1,
6125,2008,2,2,Mark,Holland,2904,1,1,1,0,7,7,1,
6125,2008,2,16,Lori,Werth,2716,1,0,0,0,7,7,1,
6125,2008,2,17,Holly,Cramer,2079,1,0,0,0,7,7,1,
6125,2008,2,18,Craig,Jensen,2077,1,0,0,0,7,7,1,
6125,2008,2,19,Valerie,Dahlgren,1587,1,0,0,0,7,7,1,
6125,2008,2,20,Jennifer,Bakke,1549,1,0,0,0,7,7,1,
6125,2008,2,8,John,Siedschlag,1509,0,0,1,0,7,7,1,
6125,2008,1,16,Lori,Werth,1934,1,0,0,0,7,7,1,
6125,2008,1,2,Mark,Holland,2190,1,1,1,0,7,7,1,
6125,2008,1,17,Holly,Cramer,1279,0,0,0,0,7,7,1,
6125,2008,1,20,Jennifer,Bakke,850,0,0,0,0,7,7,1,
6125,2008,1,19,Valerie,Dahlgren,1325,0,0,0,0,7,7,1,
6125,2008,1,18,Craig,Jensen,1591,1,0,0,0,7,7,1,
6125,2009,1,6,Dennis,Rambo,2187,1,1,1,0,8,8,1,
6125,2009,1,21,Stephen,Phillips,1776,0,0,0,0,8,8,1,
6125,2009,1,13,Michael,Kukawski,1590,0,1,1,0,8,8,1,
6125,2009,1,22,Jennifer,Hepp,2671,1,1,1,0,8,8,1,
6125,2009,1,14,Kurt,Larson,1819,1,1,1,0,8,8,1,
6125,2010,1,11,Kate,Lapin,1279,1,1,1,0,9,9,1,
6125,2010,1,10,Ron,Buchanan,1161,1,1,1,0,9,9,1,
6125,2010,1,23,Tammy,Bird,1020,1,0,0,0,9,9,1,
6125,2010,1,15,Stephanie,Griggs,966,0,1,1,0,9,9,1,
6125,2010,1,24,Adam,Kassulke,841,0,0,0,0,9,9,1,
6125,2010,1,8,John,Siedschlag,564,0,0,1,0,9,9,1,
6125,2011,1,2,Mark,Holland,3257,1,1,1,0,10,10,1,
6125,2011,1,16,Lori,Werth,3234,1,1,1,0,10,10,1,
6125,2011,1,18,Craig,Jensen,2649,1,1,1,0,10,10,1,
6125,2011,1,24,Adam,Kassulke,2412,0,0,1,0,10,10,1,
6125,2011,1,8,John,Siedschlag,2175,0,0,1,0,10,10,1,
6125,2012,1,22,Jennifer,Hepp,3818,1,1,1,0,11,11,1,
6125,2012,1,25,Mark,Putra,3057,1,0,0,0,11,11,1,
6125,2012,1,6,Dennis,Rambo,2992,1,1,1,0,11,11,1,
6125,2012,1,26,Meri,Christensen,2065,0,0,0,0,11,11,1,
6125,2012,1,14,Kurt,Larson,1980,0,1,1,0,11,11,1,
