distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6251,2003,1,1,Susan,Jones-Molini,196,1,0,0,0,1,1,1,
6251,2003,1,2,David,Bartels,159,1,1,1,0,1,1,1,
6251,2003,1,3,Kim,Doll,88,0,0,0,1,1,1,1,
6251,2003,1,4,Darryl,Martin,197,1,0,0,0,1,1,1,
6251,2003,1,NA,Scatter,,2,0,0,0,1,1,1,1,
6251,2004,1,5,Robin,Mezera,88,0,1,1,1,2,2,1,
6251,2004,1,6,Connie,McCullick,129,1,1,1,0,2,2,1,
6251,2004,1,7,Terri,Acker,93,1,0,0,1,2,2,1,
6251,2004,1,NA,Scatter,,14,0,0,0,1,2,2,1,
6251,2005,1,8,Karen,Fisher,196,1,1,1,0,3,3,1,
6251,2005,1,9,Alan,Krieg,227,1,0,0,0,3,3,1,
6251,2005,1,5,Robin,Mezera,77,0,0,1,1,3,3,1,
6251,2005,1,NA,Scatter,,11,0,0,0,1,3,3,1,
6251,2006,1,4,Darryl,Martin,138,0,1,1,0,4,4,1,
6251,2006,1,10,Cindy,McCullick,203,1,0,0,0,4,4,1,
6251,2006,1,NA,Scatter,,5,0,0,0,1,4,4,1,
6251,2007,1,6,Connie,McCullick,258,1,1,1,0,5,5,1,
6251,2007,1,7,Terri,Acker,253,1,1,1,0,5,5,1,
6251,2007,1,NA,Scatter,,20,0,0,0,1,5,5,1,
6251,2008,1,8,Karen,Fisher,174,1,1,1,0,6,6,1,
6251,2008,1,11,Chris,Plount,218,1,0,0,0,6,6,1,
6251,2008,1,12,Tom,Jazdzewski,251,1,0,0,0,6,6,1,
6251,2008,1,13,Missy,Heisz,94,0,0,0,1,6,6,1,
6251,2008,1,14,Bill,Marfilius,146,0,0,0,0,6,6,1,
6251,2008,1,NA,Scatter,,9,0,0,0,1,6,6,1,
6251,2009,1,14,Bill,Marfilius,228,1,0,1,0,7,7,1,
6251,2009,1,13,Missy,Heisz,128,0,0,1,0,7,7,1,
6251,2009,1,NA,Scatter,,6,0,0,0,1,7,7,1,
6251,2010,1,7,Terri,Acker,140,1,1,1,0,8,8,1,
6251,2010,1,6,Connie,McCullick,142,1,1,1,0,8,8,1,
6251,2010,1,NA,Scatter,,7,0,0,0,1,8,8,1,
6251,2011,1,12,Tom,Jazdzewski,207,1,1,1,0,9,9,1,
6251,2011,1,15,Jaden,McCullick,136,1,0,0,0,9,9,1,
6251,2011,1,16,Kim,Zimmerman,50,0,0,0,1,9,9,1,
6251,2011,1,17,Shawn,Pickett,46,0,0,0,1,9,9,1,
6251,2011,1,NA,Scatter,,4,0,0,0,1,9,9,1,
6251,2012,1,14,Bill,Marfilius,203,1,1,1,0,10,10,1,
6251,2012,1,NA,Scatter,,5,0,0,0,1,10,10,1,
