distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6307,2002,1,1,Scott,Fleischmann,3126,1,0,0,0,1,1,1,
6307,2002,1,2,Chad,Kolowrat,1510,0,0,0,0,1,1,1,
6307,2002,1,3,Ross,Anderson,3052,1,1,1,0,1,1,1,
6307,2002,1,4,Dan,Schwerin,2414,0,1,1,0,1,1,1,
6307,2002,1,NA,Scatter,,17,0,0,0,1,1,1,1,
6307,2003,1,5,Randy,Bertram,3017,1,1,1,0,2,2,1,
6307,2003,1,6,Wade,Mauland,2422,1,0,0,0,2,2,1,
6307,2003,1,2,Chad,Kolowrat,2394,0,0,1,0,2,2,1,
6307,2003,1,7,Mike,Weston,3333,1,1,1,0,2,2,1,
6307,2003,1,NA,Scatter,,39,0,0,0,1,2,2,1,
6307,2004,1,8,Kathy,VanEerden,1858,1,1,1,0,3,3,1,
6307,2004,1,2,Chad,Kolowrat,1304,1,0,1,0,3,3,1,
6307,2004,1,9,Barbara,Lundlin,1216,0,0,0,0,3,3,1,
6307,2004,1,NA,Scatter,,725,0,0,0,1,3,3,1,
6307,2005,1,10,Kris,Beaver,3777,1,0,0,0,4,4,1,
6307,2005,1,6,Wade,Mauland,3350,0,1,1,0,4,4,1,
6307,2005,1,11,Lance,Hittman,3565,1,0,0,0,4,4,1,
6307,2005,1,12,Charlie,Hillman,4160,1,0,0,0,4,4,1,
6307,2005,1,NA,Scatter,,45,0,0,0,1,4,4,1,
6307,2006,1,13,Craig,Johnson,901,1,0,0,0,5,5,1,
6307,2006,1,14,Michael,Christian,537,0,0,0,0,5,5,1,
6307,2006,1,15,Todd,Miller,751,0,0,0,0,5,5,1,
6307,2006,1,7,Mike,Weston,1469,1,1,1,0,5,5,1,
6307,2006,1,NA,Scatter,,10,0,0,0,1,5,5,1,
6307,2007,1,16,John,Duwell,5869,1,0,0,0,6,6,1,
6307,2007,1,8,Kathy,VanEerden,5941,1,1,1,0,6,6,1,
6307,2007,1,2,Chad,Kolowrat,3664,0,1,1,0,6,6,1,
6307,2007,1,15,Todd,Miller,5307,1,0,1,0,6,6,1,
6307,2007,1,NA,Scatter,,30,0,0,0,1,6,6,1,
6307,2008,1,17,Bruce,Koenig,4002,1,0,0,0,7,7,1,
6307,2008,1,18,Joseph,Carlson,3454,1,0,0,0,7,7,1,
6307,2008,1,19,John,Kleinmaus,3023,0,0,0,0,7,7,1,
6307,2008,1,20,Lynn,Corazzi,3276,0,0,0,0,7,7,1,
6307,2008,1,10,Kris,Beaver,3303,1,1,1,0,7,7,1,
6307,2008,1,15,Todd,Miller,3752,1,0,1,0,7,7,1,
6307,2008,1,NA,Scatter,,50,0,0,0,1,7,7,1,
6307,2009,1,21,R,Stark,3973,0,0,0,0,8,8,1,
6307,2009,1,10,Kris,Beaver,4737,1,1,1,0,8,8,1,
6307,2009,1,22,Carl,Knepel,2600,0,0,0,0,8,8,1,
6307,2009,1,23,Tim,Stepanski,5251,1,0,0,0,8,8,1,
6307,2010,2,24,Doug,Ziegler,652,0,0,0,0,9,9,1,
6307,2010,2,22,Carl,Knepel,76,0,0,1,1,9,9,1,
6307,2010,2,25,David,Weigand,1326,1,0,0,0,9,9,1,
6307,2010,2,26,Randy,Marquardt,1339,1,0,0,0,9,9,1,
6307,2010,2,27,Bart,Williams,47,0,0,0,1,9,9,1,
6307,2010,2,20,Lynn,Corazzi,1379,1,0,1,0,9,9,1,
6307,2010,2,28,Douglas,Rakowski,173,0,0,0,0,9,9,1,
6307,2010,2,8,Kathy,VanEerden,1386,1,1,1,0,9,9,1,
6307,2010,2,NA,Scatter,,11,0,0,0,1,9,9,1,
6307,2010,1,25,David,Weigand,3259,1,0,0,0,10,10,1,
6307,2010,1,26,Randy,Marquardt,3375,1,0,0,0,10,10,1,
6307,2010,1,20,Lynn,Corazzi,2435,0,0,1,0,10,10,1,
6307,2010,1,8,Kathy,VanEerden,2542,0,1,1,0,10,10,1,
6307,2010,1,NA,Scatter,,18,0,0,0,1,10,10,1,
6307,2011,2,27,Mark,Maley,1474,1,0,0,0,11,11,1,
6307,2011,2,15,Todd,Miller,1835,1,1,1,0,11,11,1,
6307,2011,2,28,Vinney,Pheng,932,1,0,0,0,11,11,1,
6307,2011,2,29,Susan,Korneman-Hansen,1327,1,0,0,0,11,11,1,
6307,2011,2,30,Rick,Parks,1470,1,0,0,0,11,11,1,
6307,2011,2,27,Bart,Williams,1347,1,0,1,0,11,11,1,
6307,2011,2,28,Douglas,Rakowski,1200,1,0,1,0,11,11,1,
6307,2011,2,NA,Scatter,,68,0,0,0,1,11,11,1,
6307,2011,1,15,Todd,Miller,6866,1,1,1,0,12,12,1,
6307,2011,1,27,Mark,Maley,5386,0,0,0,0,12,12,1,
6307,2011,1,29,Susan,Korneman-Hansen,3094,0,0,0,0,12,12,1,
6307,2011,1,30,Rick,Parks,6188,1,0,0,0,12,12,1,
6307,2011,1,27,Bart,Williams,5646,0,0,1,0,12,12,1,
6307,2011,1,28,Douglas,Rakowski,4721,0,0,1,0,12,12,1,
6307,2011,1,28,Vinney,Pheng,425,0,0,0,0,12,12,1,
6307,2011,1,NA,Scatter,,90,0,0,0,1,12,12,1,
6307,2012,1,28,Vinney,Pheng,5312,1,0,1,0,13,13,1,
6307,2012,1,31,Therese,Sizer,4778,1,0,0,0,13,13,1,
6307,2012,1,10,Kris,Beaver,4711,1,1,1,0,13,13,1,
6307,2012,1,22,Carl,Knepel,3192,0,0,1,0,13,13,1,
6307,2012,1,NA,Scatter,,79,0,0,0,1,13,13,1,
