distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Area ID,raceid,districtwide,notes
6370,2002,1,1,Henry,Althoff,517,1,1,1,0,1,1,1,
6370,2002,1,2,LaVerne,Nuttelman,474,1,1,1,0,1,1,1,
6370,2003,1,3,Mason,Quackenbush,795,0,0,0,0,2,2,1,
6370,2003,1,4,Errol,Kindschy,837,1,1,1,0,2,2,1,
6370,2003,1,5,Kenneth,Schlimgen,556,0,0,0,0,2,2,1,
6370,2003,1,6,Jon,Hetland,989,1,1,1,0,2,2,1,
6370,2004,1,7,Greg,Bergh,719,1,1,1,0,3,3,1,
6370,2004,1,8,Roger,Henderson,717,1,0,0,0,3,3,1,
6370,2004,1,9,Ann,Bina,754,1,1,1,0,3,3,1,
6370,2004,1,5,Kenneth,Schlimgen,608,0,0,1,0,3,3,1,
6370,2004,1,3,Mason,Quackenbush,615,0,0,1,0,3,3,1,
6370,2004,1,10,Linda,Brown,709,0,0,0,0,3,3,1,
6370,2005,1,11,Dorrenne,Heider,1027,1,0,0,0,4,4,1,
6370,2005,1,10,Linda,Brown,931,0,0,1,0,4,4,1,
6370,2005,1,5,Kenneth,Schlimgen,1151,1,0,1,0,4,4,1,
6370,2006,1,4,Errol,Kindschy,1045,1,1,1,0,5,5,1,
6370,2006,1,12,Richard,Nuttelman,788,0,0,0,0,5,5,1,
6370,2006,1,13,Kristy,Alumbaugh,860,1,0,0,0,5,5,1,
6370,2007,1,9,Ann,Bina,1451,1,1,1,0,6,6,1,
6370,2007,1,14,Scott,Scafe,1093,1,0,0,0,6,6,1,
6370,2007,1,15,Steven,Cash,823,0,0,0,0,6,6,1,
6370,2007,1,8,Roger,Henderson,225,0,1,1,0,6,6,1,
6370,2007,1,10,Linda,Brown,213,0,0,1,0,6,6,1,
6370,2008,1,10,Linda,Brown,911,1,0,1,0,7,7,1,
6370,2008,1,16,Tom,Ward,749,1,0,0,0,7,7,1,
6370,2008,1,1,Henry,Althoff,728,1,0,1,0,7,7,1,
6370,2008,1,17,Kimberly,Henderson,721,0,0,0,0,7,7,1,
6370,2008,1,5,Kenneth,Schlimgen,703,0,1,1,0,7,7,1,
6370,2008,1,NA,Scatter,,12,0,0,0,1,7,7,1,
6370,2009,1,18,Ken,Spraetz,818,1,0,0,0,8,8,1,
6370,2009,1,4,Errol,Kindschy,507,1,1,1,0,8,8,1,
6370,2009,1,19,Leanne,Carlson,479,0,0,0,0,8,8,1,
6370,2009,1,11,Dorrenne,Heider,353,0,0,1,0,8,8,1,
6370,2009,1,5,Kenneth,Schlimgen,12,0,0,1,1,8,8,1,
6370,2009,1,NA,Scatter,,31,0,0,0,1,8,8,1,
6370,2010,1,14,Scott,Scafe,333,1,1,1,0,9,9,1,
6370,2010,1,20,Thomas,Helgeson,313,1,0,0,0,9,9,1,
6370,2010,1,21,Jason,Falck,263,0,0,0,0,9,9,1,
6370,2010,1,22,Rita,Zindorf,261,0,0,0,0,9,9,1,
6370,2010,1,NA,Scatter,,4,0,0,0,1,9,9,1,
6370,2011,1,16,Tom,Ward,1579,1,1,1,0,10,10,1,
6370,2011,1,10,Linda,Brown,1771,1,1,1,0,10,10,1,
6370,2011,1,NA,Scatter,,29,0,0,0,1,10,10,1,
6370,2012,1,18,Ken,Spraetz,922,1,1,1,0,11,11,1,
6370,2012,1,23,Jane,Halverson,829,1,0,0,0,11,11,1,
6370,2012,1,24,Sylvester,Clements,787,1,0,0,0,11,11,1,
6370,2012,1,25,Fred,Perri,771,1,0,0,0,11,11,1,
6370,2012,1,26,Catherine,Griffin,755,1,0,0,0,11,11,1,
6370,2012,1,27,Diana,Zwart,324,0,0,0,0,11,11,1,
6370,2012,1,NA,Scatter,,15,0,0,0,1,11,11,1,
