distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6321,2002,1,1,Glenn,Carson,462,1,1,1,0,1a,1,0,
6321,2002,1,2,Curtis,Moe,470,1,0,0,0,1e,2,1,
6321,2002,1,3,Mark,Hendrickson,231,0,0,0,0,1f,3,1,
6321,2002,1,4,Linda,Dowling,315,1,1,1,0,1f,3,1,
6321,2002,1,NA,Scatter,,8,0,0,0,1,1,3,1,
6321,2003,1,5,David,Eggen,618,1,0,0,0,2c,4,0,
6321,2003,1,3,Mark,Hendrickson,312,0,0,1,0,2c,4,0,
6321,2003,1,6,Curtis,Moe,811,1,1,1,0,2e,5,1,
6321,2004,1,7,Kurtis,Driscoll,473,1,1,1,0,3b,6,0,
6321,2004,1,8,Daniel,Kotek,442,1,1,1,0,3d,7,0,
6321,2004,1,9,Dennis,Havlik,481,1,1,1,0,3g,8,1,
6321,2004,1,NA,Scatter,,9,0,0,0,1,3,8,1,
6321,2005,2,4,Linda,Dowling,226,1,1,1,0,4,9,1,
6321,2005,2,3,Mark,Hendrickson,37,0,0,1,1,4,9,1,
6321,2005,2,10,Michael,Sebion,563,1,0,0,0,4,9,1,
6321,2005,1,11,Cary,Joholski,1680,1,0,0,0,5a,10,0,
6321,2005,1,4,Linda,Dowling,470,0,1,1,0,5f,11,1,
6321,2005,1,10,Michael,Sebion,1729,1,0,0,0,5f,11,1,
6321,2006,1,5,David,Eggen,969,1,1,1,0,6c,12,0,
6321,2006,1,6,Curtis,Moe,522,0,1,1,0,6e,13,1,
6321,2006,1,3,Mark,Hendrickson,120,0,0,1,0,6e,13,1,
6321,2006,1,12,Tracy,Cade,708,1,0,0,0,6e,13,1,
6321,2007,1,13,Robert,Kerska,1083,1,0,0,0,7b,14,0,
6321,2007,1,8,Daniel,Kotek,687,1,1,1,0,7d,15,0,
6321,2007,1,3,Mark,Hendrickson,497,0,0,1,0,7d,15,0,
6321,2007,1,9,Dennis,Havlik,1042,1,1,1,0,7g,16,1,
6321,2007,1,NA,Scatter,,2,0,0,0,1,7,16,1,
6321,2008,1,11,Cary,Joholski,765,1,1,1,0,8m,17,0,
6321,2008,1,10,Michael,Sebion,824,1,1,1,0,8f,18,1,
6321,2008,1,NA,Scatter,,4,0,0,0,1,8,18,1,
6321,2009,1,5,David,Eggen,1244,1,1,1,0,9c,19,0,
6321,2009,1,12,Tracy,Cade,1229,1,1,1,0,9e,20,1,
6321,2009,1,NA,Scatter,,19,0,0,0,1,9,20,1,
6321,2010,1,13,Robert,Kerska,509,1,1,1,0,10b,21,0,
6321,2010,1,8,Daniel,Kotek,507,1,1,1,0,10d,22,0,
6321,2010,1,9,Dennis,Havlik,388,1,1,1,0,10g,23,1,
6321,2010,1,3,Mark,Hendrickson,190,0,0,1,0,10g,23,1,
6321,2010,1,NA,Scatter,,2,0,0,0,1,10,23,1,
6321,2011,1,11,Cary,Joholski,1425,1,1,1,0,11a,24,0,
6321,2011,1,14,Paul,Tysse,477,0,0,0,0,11a,24,0,
6321,2011,1,10,Michael,Sebion,1441,1,1,1,0,11f,25,1,
6321,2011,1,15,Phil,Strand,599,0,0,0,0,11f,25,1,
6321,2012,1,5,David,Eggen,668,1,1,1,0,12c,26,0,
6321,2012,1,16,David,Bean,590,0,0,0,0,12c,26,0,
6321,2012,1,12,Tracy,Cade,1056,1,1,1,0,12e,27,1,
6321,2012,1,14,Paul,Tysse,26,0,0,1,1,12c,27,1,
6321,2012,1,NA,Scatter,,4,0,0,0,1,12c,27,1,
