distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6426,2002,1,1,George,Everson,492,1,1,1,0,1b,1,0,
6426,2002,1,2,David,Skoyen,483,1,1,1,0,1c,2,0,
6426,2002,1,3,David,Olson,223,1,0,0,0,1d,3,0,
6426,2002,1,NA,Scatter,,3,0,0,0,1,1,3,0,
6426,2003,1,4,Cynthia,Hanvold,465,1,1,1,0,2b,4,0,
6426,2003,1,5,Larry,Bender,430,1,1,1,0,2e,5,0,
6426,2003,1,NA,Scatter,,7,0,0,0,1,2,5,0,
6426,2004,1,6,Leah,Johnson,302,1,1,1,0,3a,6,0,
6426,2004,1,7,Jeffrey,Mueller,265,1,1,1,0,3a,6,0,
6426,2005,1,2,David,Skoyen,325,1,1,1,0,4c,7,0,
6426,2005,1,1,George,Everson,328,1,1,1,0,4b,8,0,
6426,2005,1,3,David,Olson,321,1,1,1,0,4d,9,0,
6426,2005,1,NA,Scatter,,6,0,0,0,1,4,9,0,
6426,2006,1,5,Larry,Bender,444,1,1,1,0,5e,10,0,
6426,2006,1,4,Cynthia,Hanvold,445,1,1,1,0,5b,11,0,
6426,2006,1,NA,Scatter,,3,0,0,0,1,5,11,0,
6426,2007,1,6,Leah,Johnson,390,1,1,1,0,6a,12,0,
6426,2007,1,7,Jeffrey,Mueller,392,1,1,1,0,6a,12,0,
6426,2007,1,NA,Scatter,,3,0,0,0,1,6,12,0,
6426,2008,1,2,David,Skoyen,243,1,1,1,0,7c,13,0,
6426,2008,1,3,David,Olson,231,1,1,1,0,7b,14,0,
6426,2008,1,1,George,Everson,243,1,1,1,0,7d,15,0,
6426,2008,1,NA,Scatter,,5,0,0,0,1,7,15,0,
6426,2009,1,5,Larry,Bender,460,1,1,1,0,8e,16,0,
6426,2009,1,4,Cynthia,Hanvold,454,1,1,1,0,8b,17,0,
6426,2009,1,NA,Scatter,,3,0,0,0,1,8,17,0,
6426,2010,1,7,Jeffrey,Mueller,494,1,1,1,0,9a,18,0,
6426,2010,1,6,Leah,Johnson,470,1,1,1,0,9a,18,0,
6426,2010,1,NA,Scatter,,2,0,0,0,1,9,18,0,
6426,2011,1,2,David,Skoyen,898,1,1,1,0,10c,19,0,
6426,2011,1,1,George,Everson,889,1,1,1,0,10b,20,0,
6426,2011,1,3,David,Olson,867,1,1,1,0,10d,21,0,
6426,2011,1,NA,Scatter,,3,0,0,0,1,10,21,0,
6426,2012,1,8,Kristen,Carroll,625,1,0,0,0,11b,22,0,
6426,2012,1,9,Bryon,Fields,95,1,0,0,1,11e,23,0,
6426,2012,1,10,Cheryl,Sosalla,34,0,0,0,1,11e,23,0,
6426,2012,1,NA,Scatter,,9,0,0,0,1,11,23,0,
