distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6678,2003,1,1,David,Murray,715,0,1,1,0,3a,1,0,
6678,2003,1,2,Robert,McClyman,1077,1,0,0,0,3a,1,0,
6678,2003,1,3,William,Anderson,1130,1,0,0,0,3b,2,0,
6678,2003,1,4,Randy,Fischer,635,0,1,1,0,3b,2,0,
6678,2004,1,5,Gisela,Hamm,490,1,1,1,0,4a,3,0,
6678,2004,1,6,Eric,Helland,453,0,1,1,0,4a,3,0,
6678,2004,1,7,Steven,Smith,603,1,0,0,0,4a,3,0,
6678,2004,1,8,Randy,Gilner,784,1,1,1,0,4b,4,0,
6678,2005,1,9,David,Schulz,932,1,1,1,0,5a,5,0,
6678,2005,1,10,Jim,Rodwell,580,0,0,0,0,5a,5,0,
6678,2005,1,11,Alan,Osborn,533,0,0,0,0,5b,6,0,
6678,2005,1,12,Jesse,Weaver,1010,1,0,0,0,5b,6,0,
6678,2006,1,10,Jim,Rodwell,453,1,0,1,0,6a,7,0,
6678,2006,1,13,Dan,Schwartzer,414,0,0,0,0,6a,7,0,
6678,2006,1,2,Robert,McClyman,793,1,1,1,0,6b,8,0,
6678,2007,1,8,Randy,Gilner,2098,1,1,1,0,7a,9,0,
6678,2007,1,5,Gisela,Hamm,1473,1,1,1,0,7b,10,0,
6678,2007,1,7,Steven,Smith,1584,1,1,1,0,7b,10,0,
6678,2008,1,12,Jesse,Weaver,943,1,1,1,0,8a,11,0,
6678,2008,1,5,Gisela,Hamm,887,1,1,1,0,8b,12,0,
6678,2008,1,9,David,Schulz,960,1,1,1,0,8c,13,0,
6678,2009,1,2,Robert,McClyman,1734,1,1,1,0,9a,14,0,
6678,2009,1,10,Jim,Rodwell,1658,1,1,1,0,9b,15,0,
6678,2010,1,8,Randy,Gilner,1080,1,1,1,0,10a,16,0,
6678,2010,1,7,Steven,Smith,731,1,1,1,0,10b,17,0,
6678,2010,1,14,Jesse,Leichsenring,394,0,0,0,0,10b,17,0,
6678,2011,1,15,Stacy,Rohling,2060,1,0,0,0,11a,18,0,
6678,2011,1,16,Holly,Waterman,2222,1,0,0,0,11b,19,0,
6678,2011,1,12,Jesse,Weaver,2163,1,1,1,0,11c,20,0,
6678,2012,1,2,Robert,McClyman,1285,1,1,1,0,12a,21,0,
6678,2012,1,10,Jim,Rodwell,1199,1,1,1,0,12b,22,0,
