distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6692,2002,1,1,Dennis,Rew,822,1,1,1,0,1c,1,0,
6692,2002,1,2,Deborah,Kersten,772,1,1,1,0,1e,2,0,
6692,2002,1,3,Bruce,Beversdorf,807,1,0,0,0,1f,3,0,
6692,2003,1,4,Louise,Fischer,622,0,0,0,0,2d,4,0,
6692,2003,1,5,Alvina,Buss,982,1,1,1,0,2d,4,0,
6692,2003,1,6,Guy,Murdock,1347,1,1,1,0,2e,5,0,
6692,2003,1,7,Lester,Resch,28,1,1,1,1,2b,6,0,
6692,2003,1,NA,Scatter,,7,0,0,0,1,2b,6,0,
6692,2004,1,8,Robert,Doolittle,404,1,1,1,0,3a,7,0,
6692,2004,1,9,Charles,Wendler,424,1,1,1,0,3e,8,0,
6692,2004,1,10,Kathy,Prahl,431,1,1,1,0,3f,9,0,
6692,2005,1,1,Dennis,Rew,800,1,1,1,0,4c,10,0,
6692,2005,1,2,Deborah,Kersten,775,1,1,1,0,4e,11,0,
6692,2005,1,11,Laura,Magee,64,1,0,0,1,4f,12,0,
6692,2005,1,12,Mike,Miller,59,0,0,0,1,4f,12,0,
6692,2006,1,7,Lester,Resch,519,1,1,1,0,5b,13,0,
6692,2006,1,13,Kristy,Meredith,564,1,0,0,0,5d,14,0,
6692,2006,1,6,Guy,Murdock,509,1,1,1,0,5e,15,0,
6692,2006,1,14,Rose,Tryba,59,0,0,0,1,5e,15,0,
6692,2007,1,8,Robert,Doolittle,583,1,1,1,0,6a,16,0,
6692,2007,1,15,Christopher,Pietz,168,1,0,0,0,6a,16,0,
6692,2007,1,9,Charles,Wendler,649,1,1,1,0,6e,17,0,
6692,2007,1,14,Rose,Tryba,464,0,0,1,0,6e,17,0,
6692,2007,1,16,Lance,Premeau,485,0,0,0,0,6f,18,0,
6692,2007,1,17,Theresa,Hoffman,561,1,0,0,0,6f,18,0,
6692,2008,1,15,Christopher,Pietz,634,1,1,1,0,7a,19,0,
6692,2008,1,1,Dennis,Rew,645,1,1,1,0,7c,20,0,
6692,2008,1,14,Rose,Tryba,633,1,1,1,0,7e,21,0,
6692,2008,1,11,Laura,Magee,614,1,1,1,0,7f,22,0,
6692,2009,1,18,Tammy,Pestka,903,1,0,0,0,8b,23,0,
6692,2009,1,13,Kristy,Meredith,911,1,0,0,0,8d,24,0,
6692,2009,1,19,Tammy,Wendler,954,1,0,0,0,8e,25,0,
6692,2010,1,15,Christopher,Pietz,573,1,1,1,0,9a,26,0,
6692,2010,1,16,Lance,Premeau,357,1,0,1,0,9f,27,0,
6692,2010,1,17,Theresa,Hoffman,309,0,1,1,0,9f,27,0,
6692,2010,1,9,Charles,Wendler,628,1,1,1,0,9e,28,0,
6692,2011,1,1,Dennis,Rew,1523,1,1,1,0,10c,29,0,
6692,2011,1,14,Rose,Tryba,1426,1,1,1,0,10e,30,0,
6692,2011,1,11,Laura,Magee,1439,1,1,1,0,10f,31,0,
6692,2012,1,18,Tammy,Pestka,908,1,1,1,0,11b,32,0,
6692,2012,1,13,Kristy,Meredith,912,1,1,1,0,11d,33,0,
6692,2012,1,19,Tammy,Wendler,968,1,1,1,0,11e,34,0,
