distid,year,electiontype,candidateid,first,last,votes,winner,incumbent,repeat,minor,Race ID,Area ID,districtwide,notes
6713,2007,1,1,Ed,Woolever,NA,1,1,1,0,1,1,1,
6713,2007,1,2,Vicki,Laack,NA,1,1,1,0,1,1,1,
6713,2008,1,3,Sandy,Rogers,NA,1,1,1,0,2,2,1,
6713,2008,1,4,Merry,Preston,NA,1,1,1,0,2,2,1,
6713,2009,1,5,Dane,Tisdahl,395,1,0,0,0,3,3,1,
6713,2009,1,6,Nancy,Dieck,414,1,1,1,0,3,3,1,
6713,2009,1,7,Lori,Miller,407,1,1,1,0,3,3,1,
6713,2010,1,8,Joni,Johnson,76,0,0,0,1,4,4,1,
6713,2010,1,9,Jon,Dyer,138,0,0,0,0,4,4,1,
6713,2010,1,2,Vicki,Laack,239,1,1,1,0,4,4,1,
6713,2010,1,10,Sheri,Degner,284,1,0,0,0,4,4,1,
6713,2010,1,NA,Scatter,,3,0,0,0,1,4,4,1,
6713,2011,1,3,Sandy,Rogers,472,1,1,1,0,5,5,1,
6713,2011,1,4,Merry,Preston,420,1,1,1,0,5,5,1,
6713,2011,1,11,Joe,Lally,139,0,0,0,0,5,5,1,
6713,2011,1,12,Melanie,Benson,46,0,0,0,1,5,5,1,
6713,2011,1,NA,Scatter,,6,0,0,0,1,5,5,1,
6713,2012,1,12,Melanie,Benson,424,0,0,1,0,6,6,1,
6713,2012,1,6,Nancy,Dieck,460,1,0,0,0,6,6,1,
6713,2012,1,13,Cory,Wohlrab,441,1,0,0,0,6,6,1,
6713,2012,1,NA,Scatter,,17,0,0,0,1,6,6,1,
